Quantify Compound Summary Report 

Printed Mon Apr 19 16:14:00 2021

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area	1Area
130	130	TQS3_210326_130	B4 Sta 1.25	3.85	303082	116092
131	131	TQS3_210326_131	B4 Sta 3.125	3.85	815402	305640
132	132	TQS3_210326_132	B4 Sta 6.25	3.86	1619852	602158
133	133	TQS3_210326_133	B4 Sta 12.5	3.85	3174308	1184533
134	134	TQS3_210326_134	B4 Sta 25	3.86	6297857	2429132
135	135	TQS3_210326_135	B4 Sta 50	3.86	8678883	4338370

Compound 4:  Chlorantraniliprole

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210326_001	testd std 3.125 ng/ml	6.15	76846	66015
2	2	TQS3_210326_002	testd std 3.125 ng/ml	6.14	74458	68734
3	3	TQS3_210326_003	testd std 3.125 ng/ml	6.13	71611	66600
4	4	TQS3_210326_004	Blank			
5	5	TQS3_210326_005	B3 Sta Blank			
6	6	TQS3_210326_006	B3 Sta 0.625	6.15	14100	13678
7	7	TQS3_210326_007	B3 Sta 1.25	6.16	30874	29564
8	8	TQS3_210326_008	B3 Sta 3.125	6.16	78598	76719
9	9	TQS3_210326_009	B3 Sta 6.25	6.15	159425	155783
10	10	TQS3_210326_010	B3 Sta 12.5	6.15	304653	286258
11	11	TQS3_210326_011	B3 Sta 25	6.15	669454	632931
12	12	TQS3_210326_012	B3 Sta 50	6.16	1319508	1215502
13	13	TQS3_210326_013	20190415_C_E-LC	6.17	56961	54159
14	14	TQS3_210326_014	20190528_C_F-LC			
15	15	TQS3_210326_015	20190615_W_1_9-LC	6.15	140	
16	16	TQS3_210326_016	20200304_C_P-LC			
17	17	TQS3_210326_017	20200820_C_C-LC			
18	18	TQS3_210326_018	20190511_C_G-LC	6.17	185	
19	19	TQS3_210326_019	20190528_C_C-LC			
20	20	TQS3_210326_020	20190819_C_K-LC			
21	21	TQS3_210326_021	20190819_C_N-LC			
22	22	TQS3_210326_022	20200304_C_Fg-LC	6.16	32198	30252
23	23	TQS3_210326_023	20200304_C_Hg-LC	6.16	55622	52796
24	24	TQS3_210326_024	20200304_C_Ht-LC	6.16	105470	97338
25	25	TQS3_210326_025	20200304_C_Kg-LC	6.16	98700	90244
26	26	TQS3_210326_026	20200820_C_E-LC	6.16	202	102
27	27	TQS3_210326_027	20200831_S_1_12-LC	6.16	440	442
28	28	TQS3_210326_028	20190510_S_1_9-LC			
29	29	TQS3_210326_029	20190511_C_I-LC	6.17	3893	4184
30	30	TQS3_210326_030	20190511_C_J-LC			
31	31	TQS3_210326_031	20190511_C_K-LC	6.18	7880	6959
32	32	TQS3_210326_032	20190511_C_L-LC	6.17	152620	145217
33	33	TQS3_210326_033	20190511_C_M-LC			
34	34	TQS3_210326_034	20190511_C_N-LC	6.15	274	256
35	35	TQS3_210326_035	20190511_C_O-LC			
36	36	TQS3_210326_036	20190528_C_A-LC	6.17	59	
37	37	TQS3_210326_037	20190528_C_B-LC	6.20	85	
38	38	TQS3_210326_038	20190528_C_D-LC	6.17	163	207
39	39	TQS3_210326_039	20190528_C_E-LC	6.16	5138	5192
40	40	TQS3_210326_040	20190528_C_H-LC			
41	41	TQS3_210326_041	20190606_W_1_2-LC			
42	42	TQS3_210326_042	20190615_S_1_9-LC	6.15	123	296
43	43	TQS3_210326_043	20190819_C_J-LC			
44	44	TQS3_210326_044	20190819_C_M-LC			
45	45	TQS3_210326_045	20190819_C_P-LC			
46	46	TQS3_210326_046	20190819_C_Q-LC			
47	47	TQS3_210326_047	20200304_C_Eg-LC	6.17	28008	23889
48	48	TQS3_210326_048	20200304_C_Et-LC	6.17	39751	38920
49	49	TQS3_210326_049	20200304_C_Ft-LC	6.17	51649	48465
50	50	TQS3_210326_050	20200304_C_Ig-LC	6.17	33773	31013
51	51	TQS3_210326_051	20200304_C_It-LC	6.17	142330	134303
52	52	TQS3_210326_052	20200304_C_Jg-LC	6.18	72560	70881
53	53	TQS3_210326_053	20200304_C_Jt-LC	6.17	272932	263250
54	54	TQS3_210326_054	20200304_C_Kt-LC	6.17	393969	375636
55	55	TQS3_210326_055	20200627_S_1_5-LC	6.17	12257	11188
56	56	TQS3_210326_056	20200701_S_1_12-LC	6.17	996	1156
57	57	TQS3_210326_057	20200812_S_1_12-LC	6.17	7428	6963
58	58	TQS3_210326_058	20200820_C_A-LC			
59	59	TQS3_210326_059	20200820_C_B-LC			
60	60	TQS3_210326_060	20200820_C_D-LC			
61	61	TQS3_210326_061	20200820_C_Ft-LC	6.16	459415	430190
62	62	TQS3_210326_062	20190415_C_F-LC	6.16	5210	4662
63	63	TQS3_210326_063	Blank			
64	64	TQS3_210326_064	B3 Sta Blank			
65	65	TQS3_210326_065	B3 Sta 0.625	6.17	18366	18053
66	66	TQS3_210326_066	B3 Sta 1.25	6.18	38434	37619
67	67	TQS3_210326_067	B3 Sta 3.125	6.17	96828	90769
68	68	TQS3_210326_068	B3 Sta 6.25	6.17	188115	186765
69	69	TQS3_210326_069	B3 Sta 12.5	6.17	363682	353146
70	70	TQS3_210326_070	B3 Sta 25	6.17	769092	738647
71	71	TQS3_210326_071	B3 Sta 50	6.16	1395512	1295048
72	72	TQS3_210326_072	Blank			
73	73	TQS3_210326_073	B4 Sta Blank	6.18	18	
74	74	TQS3_210326_074	B4 Sta 0.625	6.17	18929	19450
75	75	TQS3_210326_075	B4 Sta 1.25			
76	76	TQS3_210326_076	B4 Sta 3.125	6.17	95486	95718
77	77	TQS3_210326_077	B4 Sta 6.25	6.16	186138	183986
78	78	TQS3_210326_078	B4 Sta 12.5	6.16	381872	375334
79	79	TQS3_210326_079	B4 Sta 25	6.16	756366	719823
80	80	TQS3_210326_080	B4 Sta 50	6.16	1401775	1316354
81	81	TQS3_210326_081	20201008_W_1_12-LC	6.16	288	488
82	82	TQS3_210326_082	20201023_S_7-LC	6.16	798	691
83	83	TQS3_210326_083	20201023_S_8-LC	6.15	682	660
84	84	TQS3_210326_084	20190528_S_3-LC	6.15	38	
85	85	TQS3_210326_085	20190528_S_4-LC			
86	86	TQS3_210326_086	20190528_S_7-LC	6.15	74	89
87	87	TQS3_210326_087	20190528_S_8_12-LC			
88	88	TQS3_210326_088	20190818_S_10_12-LC	6.16	320	472
89	89	TQS3_210326_089	20190818_S_2-LC			
90	90	TQS3_210326_090	20190818_S_3-LC			
91	91	TQS3_210326_091	20190818_S_4-LC	6.13	103	
92	92	TQS3_210326_092	20190818_S_5-LC	6.15	259	
93	93	TQS3_210326_093	20190818_S_6-LC	6.17	227	293
94	94	TQS3_210326_094	20190818_S_7-LC	6.15	683	790
95	95	TQS3_210326_095	20200617_S_1_4-LC	6.15	3408	3593
96	96	TQS3_210326_096	20200617_W_10_12-LC			
97	97	TQS3_210326_097	20200617_W_6-LC			
98	98	TQS3_210326_098	20200617_W_7-LC			
99	99	TQS3_210326_099	20200617_W_8_9-LC			
100	100	TQS3_210326_100	20200813_S_3-LC	6.16	2371	2392
101	101	TQS3_210326_101	20201023_S_1_2-LC	6.15	2446	2677
102	102	TQS3_210326_102	20201023_S_5-LC	6.15	278	611
103	103	TQS3_210326_103	20201023_S_6-LC	6.17	600	205
104	104	TQS3_210326_104	20190528_S_2-LC			
105	105	TQS3_210326_105	20190528_S_5-LC	6.16	53	
106	106	TQS3_210326_106	20190528_S_6-LC	6.15	34	
107	107	TQS3_210326_107	20190818_S_1-LC			
108	108	TQS3_210326_108	20190818_S_8_9-LC	6.15	140	449
109	109	TQS3_210326_109	20200617_S_8_9-LC	6.17	408	620
110	110	TQS3_210326_110	20190528_W_1-LC			
111	111	TQS3_210326_111	20200813_S_4-LC	6.15	1499	1783
112	112	TQS3_210326_112	20200813_S_5-LC	6.15	1930	1850
113	113	TQS3_210326_113	20200813_S_6-LC	6.15	1664	1401
114	114	TQS3_210326_114	20200813_S_7-LC	6.14	1596	1158
115	115	TQS3_210326_115	20200813_S_8_12-LC	6.14	2141	2329
116	116	TQS3_210326_116	20200816_S_1-LC	6.14	585	163
117	117	TQS3_210326_117	20200816_S_2-LC	6.16	379	548
118	118	TQS3_210326_118	20200816_S_3-LC	6.14	404	216
119	119	TQS3_210326_119	20200816_S_4-LC	6.15	350	432
120	120	TQS3_210326_120	20200816_S_5-LC	6.14	864	981
121	121	TQS3_210326_121	20200924_S_1_9-LC	6.15	929	823
122	122	TQS3_210326_122	20201008_S_1_12-LC	6.13	168	
123	123	TQS3_210326_123	20200617_S_10_12-LC	6.15	280	149
124	124	TQS3_210326_124	20200617_S_5-LC	6.15	244	419
125	125	TQS3_210326_125	20200617_S_6-LC	6.16	257	190
126	126	TQS3_210326_126	20200617_S_7-LC	6.14	238	215
127	127	TQS3_210326_127	20200813_S_1_2-LC	6.15	848	1159
128	128	TQS3_210326_128	B4 Sta Blank			
129	129	TQS3_210326_129	B4 Sta 0.625	6.15	19551	19439
130	130	TQS3_210326_130	B4 Sta 1.25	6.15	37289	37429
131	131	TQS3_210326_131	B4 Sta 3.125	6.16	100595	99387
132	132	TQS3_210326_132	B4 Sta 6.25	6.16	196452	192483
133	133	TQS3_210326_133	B4 Sta 12.5	6.16	386685	379017
134	134	TQS3_210326_134	B4 Sta 25	6.16	770436	745419
135	135	TQS3_210326_135	B4 Sta 50	6.16	1386616	1304935

Compound 5:  Mandipropamid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210326_001	testd std 3.125 ng/ml	6.55	630974	163037
2	2	TQS3_210326_002	testd std 3.125 ng/ml	6.55	635685	165070
3	3	TQS3_210326_003	testd std 3.125 ng/ml	6.54	652345	165254
4	4	TQS3_210326_004	Blank	6.45	73	
5	5	TQS3_210326_005	B3 Sta Blank	6.43	72	
6	6	TQS3_210326_006	B3 Sta 0.625	6.56	130715	33256
7	7	TQS3_210326_007	B3 Sta 1.25	6.57	285240	75959
8	8	TQS3_210326_008	B3 Sta 3.125	6.56	721659	190325
9	9	TQS3_210326_009	B3 Sta 6.25	6.56	1440900	381963
10	10	TQS3_210326_010	B3 Sta 12.5	6.56	2671716	702501
11	11	TQS3_210326_011	B3 Sta 25	6.56	5598127	1508860
12	12	TQS3_210326_012	B3 Sta 50	6.56	8801092	2735291
13	13	TQS3_210326_013	20190415_C_E-LC	6.57	6839	1979
14	14	TQS3_210326_014	20190528_C_F-LC	6.58	11473	2877
15	15	TQS3_210326_015	20190615_W_1_9-LC	6.57	1070903	293013
16	16	TQS3_210326_016	20200304_C_P-LC	6.57	1554920	423329
17	17	TQS3_210326_017	20200820_C_C-LC	6.57	1497091	407218
18	18	TQS3_210326_018	20190511_C_G-LC	6.57	7603	1899
19	19	TQS3_210326_019	20190528_C_C-LC	6.57	916856	248695
20	20	TQS3_210326_020	20190819_C_K-LC	6.57	1501854	409042
21	21	TQS3_210326_021	20190819_C_N-LC	6.57	1241045	336084
22	22	TQS3_210326_022	20200304_C_Fg-LC	6.57	9867	2196
23	23	TQS3_210326_023	20200304_C_Hg-LC	6.36	222	85
24	24	TQS3_210326_024	20200304_C_Ht-LC	6.43	81	171
25	25	TQS3_210326_025	20200304_C_Kg-LC	6.38	41	78
26	26	TQS3_210326_026	20200820_C_E-LC	6.57	41696	11609
27	27	TQS3_210326_027	20200831_S_1_12-LC	6.57	7282170	2091329
28	28	TQS3_210326_028	20190510_S_1_9-LC	6.56	2238905	613535
29	29	TQS3_210326_029	20190511_C_I-LC	6.43	350	400
30	30	TQS3_210326_030	20190511_C_J-LC	6.50	124	801
31	31	TQS3_210326_031	20190511_C_K-LC	6.39	157	581
32	32	TQS3_210326_032	20190511_C_L-LC	6.45	73	2198
33	33	TQS3_210326_033	20190511_C_M-LC	6.57	103970	26968
34	34	TQS3_210326_034	20190511_C_N-LC	6.57	10551	2566
35	35	TQS3_210326_035	20190511_C_O-LC	6.38	154	1112
36	36	TQS3_210326_036	20190528_C_A-LC	6.57	9978	2544
37	37	TQS3_210326_037	20190528_C_B-LC	6.58	6903	1851
38	38	TQS3_210326_038	20190528_C_D-LC	6.40	330	815
39	39	TQS3_210326_039	20190528_C_E-LC	6.43	65	76
40	40	TQS3_210326_040	20190528_C_H-LC	6.43	297	1307
41	41	TQS3_210326_041	20190606_W_1_2-LC	6.58	727221	201084
42	42	TQS3_210326_042	20190615_S_1_9-LC	6.57	8154312	2404183
43	43	TQS3_210326_043	20190819_C_J-LC	6.57	9332217	3155045
44	44	TQS3_210326_044	20190819_C_M-LC	6.57	8867582	2802304
45	45	TQS3_210326_045	20190819_C_P-LC	6.57	2572878	706648
46	46	TQS3_210326_046	20190819_C_Q-LC	6.57	2083428	572642
47	47	TQS3_210326_047	20200304_C_Eg-LC	6.45	202	867
48	48	TQS3_210326_048	20200304_C_Et-LC	6.43	128	124
49	49	TQS3_210326_049	20200304_C_Ft-LC	6.47	76	86
50	50	TQS3_210326_050	20200304_C_Ig-LC	6.49	185	165
51	51	TQS3_210326_051	20200304_C_It-LC	6.42	89	267
52	52	TQS3_210326_052	20200304_C_Jg-LC	6.43	380	
53	53	TQS3_210326_053	20200304_C_Jt-LC	6.46	109	501
54	54	TQS3_210326_054	20200304_C_Kt-LC	6.44	209	350
55	55	TQS3_210326_055	20200627_S_1_5-LC	6.57	11504623	5666695
56	56	TQS3_210326_056	20200701_S_1_12-LC	6.57	10957647	4770165
57	57	TQS3_210326_057	20200812_S_1_12-LC	6.58	3554409	976700
58	58	TQS3_210326_058	20200820_C_A-LC	6.58	56402	15099
59	59	TQS3_210326_059	20200820_C_B-LC	6.56	628	74
60	60	TQS3_210326_060	20200820_C_D-LC	6.56	649	116
61	61	TQS3_210326_061	20200820_C_Ft-LC	6.57	1595	270
62	62	TQS3_210326_062	20190415_C_F-LC	6.40	208	
63	63	TQS3_210326_063	Blank	6.41	390	
64	64	TQS3_210326_064	B3 Sta Blank	6.30	556	131
65	65	TQS3_210326_065	B3 Sta 0.625	6.58	172725	46493
66	66	TQS3_210326_066	B3 Sta 1.25	6.58	342689	92672
67	67	TQS3_210326_067	B3 Sta 3.125	6.58	846402	230093
68	68	TQS3_210326_068	B3 Sta 6.25	6.58	1676324	455836
69	69	TQS3_210326_069	B3 Sta 12.5	6.58	3104816	852896
70	70	TQS3_210326_070	B3 Sta 25	6.58	6266940	1712837
71	71	TQS3_210326_071	B3 Sta 50	6.57	9018501	2967839
72	72	TQS3_210326_072	Blank	6.43	155	332
73	73	TQS3_210326_073	B4 Sta Blank	6.42	174	309
74	74	TQS3_210326_074	B4 Sta 0.625	6.57	169809	46055
75	75	TQS3_210326_075	B4 Sta 1.25	6.45	209	
76	76	TQS3_210326_076	B4 Sta 3.125	6.57	841369	233451
77	77	TQS3_210326_077	B4 Sta 6.25	6.57	1637744	447732
78	78	TQS3_210326_078	B4 Sta 12.5	6.56	3248481	886175
79	79	TQS3_210326_079	B4 Sta 25	6.56	6117300	1671814
80	80	TQS3_210326_080	B4 Sta 50	6.57	9008727	2949246
81	81	TQS3_210326_081	20201008_W_1_12-LC	6.56	6268	1526
82	82	TQS3_210326_082	20201023_S_7-LC	6.57	2509833	686536
83	83	TQS3_210326_083	20201023_S_8-LC	6.56	2778818	753071
84	84	TQS3_210326_084	20190528_S_3-LC	6.57	24934	6689
85	85	TQS3_210326_085	20190528_S_4-LC	6.56	23497	6319
86	86	TQS3_210326_086	20190528_S_7-LC	6.56	31939	7886
87	87	TQS3_210326_087	20190528_S_8_12-LC	6.56	29925	7694
88	88	TQS3_210326_088	20190818_S_10_12-LC	6.56	2287199	625430
89	89	TQS3_210326_089	20190818_S_2-LC	6.56	992338	270321
90	90	TQS3_210326_090	20190818_S_3-LC	6.56	1373344	373726
91	91	TQS3_210326_091	20190818_S_4-LC	6.56	1549352	421572
92	92	TQS3_210326_092	20190818_S_5-LC	6.56	1864734	508652
93	93	TQS3_210326_093	20190818_S_6-LC	6.56	1902439	515527
94	94	TQS3_210326_094	20190818_S_7-LC	6.56	2787812	752778
95	95	TQS3_210326_095	20200617_S_1_4-LC	6.54	14651631	10522353
96	96	TQS3_210326_096	20200617_W_10_12-LC	6.56	627462	170569
97	97	TQS3_210326_097	20200617_W_6-LC	6.56	1258426	341747
98	98	TQS3_210326_098	20200617_W_7-LC	6.56	812936	220423
99	99	TQS3_210326_099	20200617_W_8_9-LC	6.56	730778	198096
100	100	TQS3_210326_100	20200813_S_3-LC	6.56	9756948	3480359
101	101	TQS3_210326_101	20201023_S_1_2-LC	6.56	765646	208614
102	102	TQS3_210326_102	20201023_S_5-LC	6.56	1834716	497064
103	103	TQS3_210326_103	20201023_S_6-LC	6.56	1726976	469880
104	104	TQS3_210326_104	20190528_S_2-LC	6.56	8546	2694
105	105	TQS3_210326_105	20190528_S_5-LC	6.56	13201	3629
106	106	TQS3_210326_106	20190528_S_6-LC	6.56	15859	3811
107	107	TQS3_210326_107	20190818_S_1-LC	6.56	517662	138175
108	108	TQS3_210326_108	20190818_S_8_9-LC	6.56	1139990	308586
109	109	TQS3_210326_109	20200617_S_8_9-LC	6.54	14113180	9810797
110	110	TQS3_210326_110	20190528_W_1-LC	6.55	42336	10674
111	111	TQS3_210326_111	20200813_S_4-LC	6.55	8357168	2513379
112	112	TQS3_210326_112	20200813_S_5-LC	6.55	7949127	2268628
113	113	TQS3_210326_113	20200813_S_6-LC	6.55	7798289	2193394
114	114	TQS3_210326_114	20200813_S_7-LC	6.55	6277973	1735119
115	115	TQS3_210326_115	20200813_S_8_12-LC	6.55	4995456	1357370
116	116	TQS3_210326_116	20200816_S_1-LC	6.55	3845099	1048727
117	117	TQS3_210326_117	20200816_S_2-LC	6.55	4629401	1250190
118	118	TQS3_210326_118	20200816_S_3-LC	6.55	4955246	1363506
119	119	TQS3_210326_119	20200816_S_4-LC	6.55	4112284	1124735
120	120	TQS3_210326_120	20200816_S_5-LC	6.55	4635206	1258613
121	121	TQS3_210326_121	20200924_S_1_9-LC	6.55	624703	168871
122	122	TQS3_210326_122	20201008_S_1_12-LC	6.55	653601	180094
123	123	TQS3_210326_123	20200617_S_10_12-LC	6.54	11651295	5741224
124	124	TQS3_210326_124	20200617_S_5-LC	6.54	13251715	8695003
125	125	TQS3_210326_125	20200617_S_6-LC	6.54	12905050	7973980
126	126	TQS3_210326_126	20200617_S_7-LC	6.54	13075683	8328280
127	127	TQS3_210326_127	20200813_S_1_2-LC	6.56	985748	271090
128	128	TQS3_210326_128	B4 Sta Blank	6.56	8877	2280
129	129	TQS3_210326_129	B4 Sta 0.625	6.56	176449	47431
130	130	TQS3_210326_130	B4 Sta 1.25	6.56	337489	94099
131	131	TQS3_210326_131	B4 Sta 3.125	6.56	868566	235823
132	132	TQS3_210326_132	B4 Sta 6.25	6.56	1684030	453774
133	133	TQS3_210326_133	B4 Sta 12.5	6.56	3262504	877493
134	134	TQS3_210326_134	B4 Sta 25	6.56	6207652	1704960
135	135	TQS3_210326_135	B4 Sta 50	6.57	9011494	2942050

Compound 6:  Fluopicolide

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210326_001	testd std 3.125 ng/ml	6.67	456591	183027
2	2	TQS3_210326_002	testd std 3.125 ng/ml	6.66	481450	193328
3	3	TQS3_210326_003	testd std 3.125 ng/ml	6.66	499933	206160
4	4	TQS3_210326_004	Blank	6.50	297	
5	5	TQS3_210326_005	B3 Sta Blank	6.70	194	
6	6	TQS3_210326_006	B3 Sta 0.625	6.68	95835	37511
7	7	TQS3_210326_007	B3 Sta 1.25	6.68	208736	81592
8	8	TQS3_210326_008	B3 Sta 3.125	6.68	522239	209041
9	9	TQS3_210326_009	B3 Sta 6.25	6.68	1017604	408030
10	10	TQS3_210326_010	B3 Sta 12.5	6.68	1846337	728911
11	11	TQS3_210326_011	B3 Sta 25	6.67	4024145	1520869
12	12	TQS3_210326_012	B3 Sta 50	6.68	7317828	2867145
13	13	TQS3_210326_013	20190415_C_E-LC	6.57	325	4263
14	14	TQS3_210326_014	20190528_C_F-LC	6.69	48810	18602
15	15	TQS3_210326_015	20190615_W_1_9-LC	6.68	4637	1519
16	16	TQS3_210326_016	20200304_C_P-LC	6.69	98917	43810
17	17	TQS3_210326_017	20200820_C_C-LC	6.69	544706	213277
18	18	TQS3_210326_018	20190511_C_G-LC	6.69	29738	11874
19	19	TQS3_210326_019	20190528_C_C-LC	6.69	61328	25605
20	20	TQS3_210326_020	20190819_C_K-LC	6.68	1868835	701829
21	21	TQS3_210326_021	20190819_C_N-LC	6.69	2160203	787315
22	22	TQS3_210326_022	20200304_C_Fg-LC	6.45	124	130
23	23	TQS3_210326_023	20200304_C_Hg-LC	6.54	205	2345
24	24	TQS3_210326_024	20200304_C_Ht-LC	6.55	165	8334
25	25	TQS3_210326_025	20200304_C_Kg-LC	6.53	55	149
26	26	TQS3_210326_026	20200820_C_E-LC	6.68	222363	82990
27	27	TQS3_210326_027	20200831_S_1_12-LC	6.68	221279	86808
28	28	TQS3_210326_028	20190510_S_1_9-LC	6.68	40301	14705
29	29	TQS3_210326_029	20190511_C_I-LC	6.70	1192743	447199
30	30	TQS3_210326_030	20190511_C_J-LC	6.70	110169	40418
31	31	TQS3_210326_031	20190511_C_K-LC	6.68	4795	16148
32	32	TQS3_210326_032	20190511_C_L-LC	6.69	11979	31498
33	33	TQS3_210326_033	20190511_C_M-LC	6.69	25888	11169
34	34	TQS3_210326_034	20190511_C_N-LC	6.69	54487	20432
35	35	TQS3_210326_035	20190511_C_O-LC	6.69	44762	17342
36	36	TQS3_210326_036	20190528_C_A-LC	6.69	51986	19553
37	37	TQS3_210326_037	20190528_C_B-LC	6.69	35256	13028
38	38	TQS3_210326_038	20190528_C_D-LC	6.69	116019	44428
39	39	TQS3_210326_039	20190528_C_E-LC	6.56	189	11512
40	40	TQS3_210326_040	20190528_C_H-LC	6.56	46	1115
41	41	TQS3_210326_041	20190606_W_1_2-LC	6.68	1093	58
42	42	TQS3_210326_042	20190615_S_1_9-LC	6.69	53432	19342
43	43	TQS3_210326_043	20190819_C_J-LC	6.69	197548	75041
44	44	TQS3_210326_044	20190819_C_M-LC	6.69	203543	74677
45	45	TQS3_210326_045	20190819_C_P-LC	6.69	1997044	756014
46	46	TQS3_210326_046	20190819_C_Q-LC	6.69	122749	45254
47	47	TQS3_210326_047	20200304_C_Eg-LC	6.52	112	455
48	48	TQS3_210326_048	20200304_C_Et-LC	6.62	41	3112
49	49	TQS3_210326_049	20200304_C_Ft-LC	6.54	137	273
50	50	TQS3_210326_050	20200304_C_Ig-LC	6.58	286	150
51	51	TQS3_210326_051	20200304_C_It-LC	6.57	141	7042
52	52	TQS3_210326_052	20200304_C_Jg-LC	6.59	127	2184
53	53	TQS3_210326_053	20200304_C_Jt-LC	6.56	159	7966
54	54	TQS3_210326_054	20200304_C_Kt-LC	6.59	495	24157
55	55	TQS3_210326_055	20200627_S_1_5-LC	6.70	94203	39942
56	56	TQS3_210326_056	20200701_S_1_12-LC	6.70	156863	59566
57	57	TQS3_210326_057	20200812_S_1_12-LC	6.70	60814	26022
58	58	TQS3_210326_058	20200820_C_A-LC	6.70	50874	18810
59	59	TQS3_210326_059	20200820_C_B-LC			
60	60	TQS3_210326_060	20200820_C_D-LC	6.41	62	
61	61	TQS3_210326_061	20200820_C_Ft-LC	6.45	235	27040
62	62	TQS3_210326_062	20190415_C_F-LC	6.59	116	358
63	63	TQS3_210326_063	Blank			
64	64	TQS3_210326_064	B3 Sta Blank			
65	65	TQS3_210326_065	B3 Sta 0.625	6.70	99316	38868
66	66	TQS3_210326_066	B3 Sta 1.25	6.70	202815	75830
67	67	TQS3_210326_067	B3 Sta 3.125	6.70	509468	197882
68	68	TQS3_210326_068	B3 Sta 6.25	6.69	1015685	387484
69	69	TQS3_210326_069	B3 Sta 12.5	6.69	1995485	742942
70	70	TQS3_210326_070	B3 Sta 25	6.69	4152195	1547819
71	71	TQS3_210326_071	B3 Sta 50	6.68	7225972	2745323
72	72	TQS3_210326_072	Blank	6.71	936	197
73	73	TQS3_210326_073	B4 Sta Blank	6.70	1097	232
74	74	TQS3_210326_074	B4 Sta 0.625	6.69	99079	38077
75	75	TQS3_210326_075	B4 Sta 1.25	6.56	45	
76	76	TQS3_210326_076	B4 Sta 3.125	6.69	497506	189339
77	77	TQS3_210326_077	B4 Sta 6.25	6.69	1003638	383742
78	78	TQS3_210326_078	B4 Sta 12.5	6.68	2024519	744205
79	79	TQS3_210326_079	B4 Sta 25	6.68	4054712	1510496
80	80	TQS3_210326_080	B4 Sta 50	6.68	7194138	2765192
81	81	TQS3_210326_081	20201008_W_1_12-LC	6.50	67	1115
82	82	TQS3_210326_082	20201023_S_7-LC	6.68	580475	197558
83	83	TQS3_210326_083	20201023_S_8-LC	6.68	692736	225687
84	84	TQS3_210326_084	20190528_S_3-LC	6.68	78497	28837
85	85	TQS3_210326_085	20190528_S_4-LC	6.68	92836	32925
86	86	TQS3_210326_086	20190528_S_7-LC	6.68	115988	43984
87	87	TQS3_210326_087	20190528_S_8_12-LC	6.68	104944	43970
88	88	TQS3_210326_088	20190818_S_10_12-LC	6.68	1981883	743326
89	89	TQS3_210326_089	20190818_S_2-LC	6.67	1900509	711919
90	90	TQS3_210326_090	20190818_S_3-LC	6.67	1849856	697224
91	91	TQS3_210326_091	20190818_S_4-LC	6.67	1622517	610990
92	92	TQS3_210326_092	20190818_S_5-LC	6.67	1947561	729234
93	93	TQS3_210326_093	20190818_S_6-LC	6.67	1492426	550016
94	94	TQS3_210326_094	20190818_S_7-LC	6.67	1993280	740956
95	95	TQS3_210326_095	20200617_S_1_4-LC	6.67	263740	103561
96	96	TQS3_210326_096	20200617_W_10_12-LC	6.68	1079	304
97	97	TQS3_210326_097	20200617_W_6-LC	6.68	66600	25833
98	98	TQS3_210326_098	20200617_W_7-LC	6.51	84	599
99	99	TQS3_210326_099	20200617_W_8_9-LC	6.68	1192	279
100	100	TQS3_210326_100	20200813_S_3-LC	6.68	191212	62716
101	101	TQS3_210326_101	20201023_S_1_2-LC	6.68	191810	71332
102	102	TQS3_210326_102	20201023_S_5-LC	6.68	408747	154823
103	103	TQS3_210326_103	20201023_S_6-LC	6.67	376785	137426
104	104	TQS3_210326_104	20190528_S_2-LC	6.67	33452	13685
105	105	TQS3_210326_105	20190528_S_5-LC	6.68	44311	16569
106	106	TQS3_210326_106	20190528_S_6-LC	6.67	57254	21999
107	107	TQS3_210326_107	20190818_S_1-LC	6.67	1282328	488138
108	108	TQS3_210326_108	20190818_S_8_9-LC	6.67	772621	292812
109	109	TQS3_210326_109	20200617_S_8_9-LC	6.58	4092	4659
110	110	TQS3_210326_110	20190528_W_1-LC	6.68	923	184
111	111	TQS3_210326_111	20200813_S_4-LC	6.67	113750	41031
112	112	TQS3_210326_112	20200813_S_5-LC	6.67	107813	38724
113	113	TQS3_210326_113	20200813_S_6-LC	6.67	96705	36319
114	114	TQS3_210326_114	20200813_S_7-LC	6.67	91880	33080
115	115	TQS3_210326_115	20200813_S_8_12-LC	6.66	77401	30849
116	116	TQS3_210326_116	20200816_S_1-LC	6.67	50973	17703
117	117	TQS3_210326_117	20200816_S_2-LC	6.67	58655	25368
118	118	TQS3_210326_118	20200816_S_3-LC	6.67	97327	35450
119	119	TQS3_210326_119	20200816_S_4-LC	6.67	89766	33959
120	120	TQS3_210326_120	20200816_S_5-LC	6.66	119288	46578
121	121	TQS3_210326_121	20200924_S_1_9-LC	6.67	122031	45133
122	122	TQS3_210326_122	20201008_S_1_12-LC	6.66	117250	43192
123	123	TQS3_210326_123	20200617_S_10_12-LC	6.66	82892	31639
124	124	TQS3_210326_124	20200617_S_5-LC	6.58	3203	3459
125	125	TQS3_210326_125	20200617_S_6-LC	6.57	2376	2877
126	126	TQS3_210326_126	20200617_S_7-LC	6.58	2689	3100
127	127	TQS3_210326_127	20200813_S_1_2-LC	6.67	24955	10649
