Quantify Compound Summary Report 

Printed Wed Feb 02 11:09:36 2022

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
107	107	U1_201211_107	Sta 0.1 µg/ml	4.23	15291
108	108	U1_201211_108	Blank	4.05	6
109	109	U1_201211_109	20190818_S_1-GLY	4.24	442
110	110	U1_201211_110	20190818_S_2-GLY	4.24	597
111	111	U1_201211_111	20190818_S_3-GLY	4.24	603
112	112	U1_201211_112	20190818_S_4-GLY	4.24	439
113	113	U1_201211_113	20190818_S_5-GLY	4.23	538
114	114	U1_201211_114	20190818_S_6-GLY	4.24	558
115	115	U1_201211_115	20190818_S_7-GLY	4.23	649
116	116	U1_201211_116	20190818_S_8_9-GLY	4.24	743
117	117	U1_201211_117	20190818_S_10_12-GLY	4.24	1214
118	118	U1_201211_118	Blank	3.99	5
119	119	U1_201211_119	Sta 0.1 µg/ml	4.24	12621
120	120	U1_201211_120	Blank	3.87	5
121	121	U1_201211_121	20200617_S_1_4-GLY	4.23	3338
122	122	U1_201211_122	20200617_S_5-GLY	4.23	4464
123	123	U1_201211_123	20200617_S_6-GLY	4.23	4467
124	124	U1_201211_124	20200617_S_7-GLY	4.23	3151
125	125	U1_201211_125	20200617_S_8_9-GLY	4.23	4267
126	126	U1_201211_126	20200617_S_10_12-GLY	4.23	3899
127	127	U1_201211_127	20200813_S_1_2-GLY	4.23	472
128	128	U1_201211_128	20200813_S_3-GLY	4.23	855
129	129	U1_201211_129	20200813_S_4-GLY	4.24	1138
130	130	U1_201211_130	Blank	3.97	23
131	131	U1_201211_131	Sta 0.1 µg/ml	4.23	12214
132	132	U1_201211_132	Blank	3.99	8
133	133	U1_201211_133	20200813_S_5-GLY	4.23	1090
134	134	U1_201211_134	20200813_S_6-GLY	4.23	1002
135	135	U1_201211_135	20200813_S_7-GLY	4.23	1177
136	136	U1_201211_136	20200813_S_8_12-GLY	4.23	1034
137	137	U1_201211_137	20200816_S_1-GLY	4.23	9077
138	138	U1_201211_138	20200816_S_2-GLY	4.23	2459
139	139	U1_201211_139	20200816_S_3-GLY	4.23	1542
140	140	U1_201211_140	20200816_S_4-GLY	4.23	1950
141	141	U1_201211_141	20200816_S_5-GLY	4.23	1844
142	142	U1_201211_142	Blank	3.99	5
143	143	U1_201211_143	Sta 0.1 µg/ml	4.23	13272
144	144	U1_201211_144	Blank	3.90	7
