Quantify Compound Summary Report 

Printed Fri Oct 08 13:17:35 2021

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
103	103	U1_04122020_103	20200304_C_D-GLY	3.95	12
104	104	U1_04122020_104	20200304_C_Eg-GLY	4.01	4
105	105	U1_04122020_105	20200304_C_Et-GLY	4.21	10386
106	106	U1_04122020_106	20200304_C_Fg-GLY	3.96	8
107	107	U1_04122020_107	20200304_C_Ft-GLY	4.22	9514
108	108	U1_04122020_108	Blank	3.93	19
109	109	U1_04122020_109	Sta 0.1 µg/ml	4.22	14030
110	110	U1_04122020_110	Blank	3.99	4
111	111	U1_04122020_111	20200304_C_G-GLY	4.13	7
112	112	U1_04122020_112	20200304_C_Hg-GLY	4.21	980
113	113	U1_04122020_113	20200304_C_Ht-GLY	4.21	47113
114	114	U1_04122020_114	20200304_C_Ig-GLY	4.21	1062
115	115	U1_04122020_115	20200304_C_It-GLY	4.22	16120
116	116	U1_04122020_116	20200304_C_Jg-GLY	3.84	33
117	117	U1_04122020_117	20200304_C_Jt-GLY	4.21	3898
118	118	U1_04122020_118	20200304_C_Kg-GLY	3.83	28
119	119	U1_04122020_119	Blank	4.01	2
120	120	U1_04122020_120	Sta 0.1 µg/ml	4.21	9730
121	121	U1_04122020_121	Blank	4.03	8
122	122	U1_04122020_122	20200304_C_Kt-GLY	4.21	2910
123	123	U1_04122020_123	20200304_C_L-GLY	4.21	344
124	124	U1_04122020_124	20200304_C_M-GLY	4.21	376
125	125	U1_04122020_125	20200304_C_N-GLY	4.10	3
126	126	U1_04122020_126	20200304_C_O-GLY	4.07	5
127	127	U1_04122020_127	20200304_C_P-GLY	4.19	73
128	128	U1_04122020_128	20200304_C_Q-GLY	4.21	249
129	129	U1_04122020_129	20200304_C_R-GLY	4.22	202
130	130	U1_04122020_130	Blank	4.01	9
131	131	U1_04122020_131	Sta 0.1 µg/ml	4.21	10895
132	132	U1_04122020_132	Blank	3.99	2
133	133	U1_04122020_133	20200304_C_S-GLY	4.21	313
134	134	U1_04122020_134	20200304_C_T-GLY	3.98	9
135	135	U1_04122020_135	20200304_C_U-GLY	4.03	5
136	136	U1_04122020_136	20200304_C_V-GLY	4.13	3
137	137	U1_04122020_137	20200304_C_W-GLY	3.92	9
138	138	U1_04122020_138	20200304_C_X-GLY	4.20	72
139	139	U1_04122020_139	20200627_S_1_5-GLY	4.21	1090
140	140	U1_04122020_140	20200701_S_1_12-GLY	4.21	1295
141	141	U1_04122020_141	20200812_S_1_12-GLY	4.21	1037
142	142	U1_04122020_142	Blank	3.96	2
143	143	U1_04122020_143	Sta 0.1 µg/ml	4.21	8477
144	144	U1_04122020_144	Blank	4.02	3
145	145	U1_04122020_145	20200820_C_A-GLY	4.00	3
146	146	U1_04122020_146	20200820_C_B-GLY	4.21	755
147	147	U1_04122020_147	20200820_C_C-GLY	4.22	822
148	148	U1_04122020_148	20200820_C_D-GLY	4.22	554
149	149	U1_04122020_149	20200820_C_E-GLY	4.22	96
150	150	U1_04122020_150	20200820_C_Ft-GLY	4.21	9556
151	151	U1_04122020_151	20200831_S_1_12-GLY	4.21	906
152	152	U1_04122020_152	20200924_S_1_9-GLY	4.20	1044557
153	153	U1_04122020_153	20200928_S_1_12-GLY	4.21	155729
154	154	U1_04122020_154	Blank	4.01	2
155	155	U1_04122020_155	Sta 0.1 µg/ml	4.22	19978
156	156	U1_04122020_156	Blank	4.03	8
157	157	U1_04122020_157	Sta Blank	4.22	450
158	158	U1_04122020_158	Sta 0.005 µg/ml	4.21	876
159	159	U1_04122020_159	Sta 0.01 µg/ml	4.22	1936
160	160	U1_04122020_160	Sta 0.02 µg/ml	4.22	2109
161	161	U1_04122020_161	Sta 0.05 µg/ml	4.22	8314
162	162	U1_04122020_162	Sta 0.1 µg/ml	4.22	9332
163	163	U1_04122020_163	Sta 0.2 µg/ml	4.22	15850
164	164	U1_04122020_164	Sta 0.5 µg/ml	4.22	56885
165	165	U1_04122020_165	Sta 1 µg/ml	4.22	189493
166	166	U1_04122020_166	Sta 2 µg/ml	4.21	356580
167	167	U1_04122020_167	Blank	3.99	3
168	168	U1_04122020_168	Sta 0.1 µg/ml	4.22	15960
169	169	U1_04122020_169	Blank	4.03	3
170	170	U1_04122020_170	Blank	3.94	2

Compound 2:  GLY_FMOC_ql

	#	Name	Sample Text	RT	Area
1	1	U1_04122020_001	sta 0.1 µg/ml	4.03	16
2	2	U1_04122020_002	sta 0.1 µg/ml	3.94	6482
3	3	U1_04122020_003	Blank	4.19	5
4	4	U1_04122020_004	sta 0 µg/ml	4.24	84
5	5	U1_04122020_005	sta 0.005 µg/ml	4.00	7
6	6	U1_04122020_006	sta 0.01 µg/ml	3.98	22
7	7	U1_04122020_007	sta 0.02 µg/ml	4.23	1194
8	8	U1_04122020_008	sta 0.05µg/ml	4.23	2825
9	9	U1_04122020_009	sta 0.1 µg/ml	4.22	5330
10	10	U1_04122020_010	sta 0.2 µg/ml	4.22	10880
11	11	U1_04122020_011	sta 0.5 µg/ml	4.22	29351
12	12	U1_04122020_012	sta 1 µg/ml	4.22	63779
13	13	U1_04122020_013	sta 2 µg/ml	4.22	141826
14	14	U1_04122020_014	Blank	3.93	3
15	15	U1_04122020_015	sta 0.1 µg/ml	4.22	5317
16	16	U1_04122020_016	Blank	4.01	2
17	17	U1_04122020_017	XY-blank	4.22	286
18	18	U1_04122020_018	XY-blank 0.5 Spiked	4.22	1150
19	19	U1_04122020_019	Blank	4.03	2
20	20	U1_04122020_020	GLY-QC1 - 0.2	4.22	940
21	21	U1_04122020_021	GLY-QC2 - 0.5	4.22	1570
22	22	U1_04122020_022	GLY-QC3 - 1	4.22	3111
23	23	U1_04122020_023	Blank	3.99	2
24	24	U1_04122020_024	Sta 0.1 µg/ml	4.23	5435
25	25	U1_04122020_025	Blank	3.93	6
26	26	U1_04122020_026	20190315_W_1-GLY	4.06	17
27	27	U1_04122020_027	20190510_W_1_9-GLY	3.96	2
28	28	U1_04122020_028	20190606_W_1_2-GLY	4.03	6
29	29	U1_04122020_029	20190615_W_1_9-GLY	3.98	3
30	30	U1_04122020_030	20200627_W_1_5-GLY	3.98	5
31	31	U1_04122020_031	20200701_W_1_12-GLY	4.03	1
32	32	U1_04122020_032	20200812_W_1_12-GLY	4.21	56
33	33	U1_04122020_033	20200831_W_1_12-GLY	4.06	9
34	34	U1_04122020_034	20200924_W_1_9-GLY	4.22	55745
35	35	U1_04122020_035	20200928_W_1_12-GLY	4.22	3394
36	36	U1_04122020_036	Blank	4.05	10
