Teller,Monsters,Name,RT,Quant Area,Qual Area
134,Cal 5 II 1,Chlorothalonil I,14.909,139,110
,,,,,
Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Chlorothalonil II,15.243,1,-61
4,Cal 0.125,Chlorothalonil II,15.226,43,10
5,Cal 0.25,Chlorothalonil II,15.218,14,54
6,Cal 0.5,Chlorothalonil II,15.197,109,41
7,Cal 1,Chlorothalonil II,15.259,83,86
8,Cal 5,Chlorothalonil II,15.205,263,238
9,Cal 10,Chlorothalonil II,15.209,485,427
10,Cal 25,Chlorothalonil II,15.205,3889,3445
11,Cal 5,Chlorothalonil II,15.205,368,221
12,Blanck chemical,Chlorothalonil II,15.234,-19,42
13,QC 0,Chlorothalonil II,15.18,20,-3
14,QC 0.5,Chlorothalonil II,15.192,41,-3
15,QC 1,Chlorothalonil II,15.23,16,12
16,QC 2.5,Chlorothalonil II,15.213,-11,-8
17,QC 5,Chlorothalonil II,15.197,27,11
18,QC 10,Chlorothalonil II,15.247,32,8
19,Cal 5,Chlorothalonil II,15.213,253,255
20,31110 A,Chlorothalonil II,15.209,69,
21,31110 Spike,Chlorothalonil II,15.201,7,
22,31111 A,Chlorothalonil II,,,
23,31111 B,Chlorothalonil II,15.085,116,
24,31120,Chlorothalonil II,15.085,147,20
25,31121,Chlorothalonil II,15.093,131,143
26,31130,Chlorothalonil II,15.188,13,
27,31131,Chlorothalonil II,15.068,287,126
28,31210,Chlorothalonil II,15.176,-17,21
29,31211,Chlorothalonil II,15.184,26,-42
30,Cal 5,Chlorothalonil II,15.197,151,147
31,31220,Chlorothalonil II,15.197,-39,34
32,31221,Chlorothalonil II,15.23,-37,22
33,31230,Chlorothalonil II,15.243,-1,-7
34,31231,Chlorothalonil II,15.197,-10,70
35,31310,Chlorothalonil II,15.081,75,64
36,31311,Chlorothalonil II,15.238,48,171
37,31320,Chlorothalonil II,15.255,51,
38,31321,Chlorothalonil II,15.247,98,-45
39,31330,Chlorothalonil II,15.213,38,47
40,31331,Chlorothalonil II,15.097,75,20
41,Cal 5,Chlorothalonil II,15.205,80,81
42,32110 A,Chlorothalonil II,15.085,96,
43,32110 B,Chlorothalonil II,15.184,-12,-12
44,32111 A,Chlorothalonil II,15.077,0,0
45,32111 Spike,Chlorothalonil II,15.192,103,
46,32120,Chlorothalonil II,15.077,150,109
47,32121,Chlorothalonil II,15.142,32,
48,32130,Chlorothalonil II,15.334,10,35
49,32131,Chlorothalonil II,15.192,25,
50,32210,Chlorothalonil II,15.243,42,43
51,32211,Chlorothalonil II,15.238,10,
52,Cal 5,Chlorothalonil II,15.192,79,106
53,32220,Chlorothalonil II,15.188,70,
54,32221,Chlorothalonil II,15.172,14,10
55,32230,Chlorothalonil II,15.068,0,0
56,32231,Chlorothalonil II,15.326,15,6
57,32310,Chlorothalonil II,15.093,178,97
58,32311,Chlorothalonil II,15.226,11,
59,32320,Chlorothalonil II,15.089,186,89
60,32321,Chlorothalonil II,15.085,83,71
61,32330,Chlorothalonil II,15.072,103,33
62,32331,Chlorothalonil II,15.081,107,90
63,Cal 5,Chlorothalonil II,15.201,79,44
64,33110 A,Chlorothalonil II,15.072,59,77
65,33110 Spike,Chlorothalonil II,15.222,35,5
66,33111 A,Chlorothalonil II,15.097,92,138
67,33111 B,Chlorothalonil II,15.234,8,
68,33120,Chlorothalonil II,15.093,88,115
69,33121,Chlorothalonil II,15.081,0,0
70,33130,Chlorothalonil II,15.077,0,0
71,33131,Chlorothalonil II,15.077,0,0
72,33210,Chlorothalonil II,15.201,52,
73,33211,Chlorothalonil II,15.085,0,0
74,Cal 5,Chlorothalonil II,15.192,159,144
75,Cal 5 II,Chlorothalonil II,15.201,45,
76,33220,Chlorothalonil II,15.322,13,4
77,33221,Chlorothalonil II,15.076,43,98
78,33230,Chlorothalonil II,15.234,31,
79,33231,Chlorothalonil II,,,
80,33310,Chlorothalonil II,15.064,0,0
81,33311,Chlorothalonil II,15.093,0,0
82,33320,Chlorothalonil II,15.097,0,
83,33321,Chlorothalonil II,15.076,0,0
84,33330,Chlorothalonil II,15.222,0,
85,33331,Chlorothalonil II,15.085,66,113
86,Cal 5 II,Chlorothalonil II,15.085,67,36
87,Blanck chemical II,Chlorothalonil II,15.255,15,
88,QC 0 II,Chlorothalonil II,15.222,70,
89,QC 0.5 II,Chlorothalonil II,15.113,32,
90,QC 1 II,Chlorothalonil II,15.23,9,8
91,QC 2.5 II,Chlorothalonil II,15.23,36,-37
92,QC 5 II,Chlorothalonil II,15.234,150,132
93,QC 10 II,Chlorothalonil II,15.201,23,14
94,Cal 5 II,Chlorothalonil II,15.18,65,17
95,21110 A,Chlorothalonil II,15.093,136,
96,21110 Spike,Chlorothalonil II,15.192,5,
97,21111 A,Chlorothalonil II,15.089,74,82
98,21111 B,Chlorothalonil II,15.238,13,144
99,21120,Chlorothalonil II,15.068,0,
100,21121,Chlorothalonil II,15.081,0,0
101,21130,Chlorothalonil II,,,
102,21131,Chlorothalonil II,15.259,22,
103,21210,Chlorothalonil II,15.068,93,50
104,21211,Chlorothalonil II,15.097,0,0
105,Cal 5 II,Chlorothalonil II,15.222,60,24
106,21220,Chlorothalonil II,15.085,104,66
107,21221,Chlorothalonil II,15.192,12,24
108,21230,Chlorothalonil II,15.089,103,88
109,21231,Chlorothalonil II,15.284,18,
110,21310,Chlorothalonil II,15.305,6,
111,21311,Chlorothalonil II,15.081,40,107
112,21320,Chlorothalonil II,,,
113,21321,Chlorothalonil II,15.081,0,0
114,21330,Chlorothalonil II,15.263,17,
115,21331,Chlorothalonil II,15.097,0,0
116,Cal 5 II,Chlorothalonil II,15.097,0,0
117,Cal 5 II 1,Chlorothalonil II,15.068,0,0
118,22110 A,Chlorothalonil II,15.234,0,0
119,22110 B,Chlorothalonil II,15.081,0,
120,22111 A,Chlorothalonil II,15.064,0,0
121,22111 Spike,Chlorothalonil II,15.093,0,0
122,22120,Chlorothalonil II,15.081,0,0
123,22121,Chlorothalonil II,15.222,0,0
124,22130,Chlorothalonil II,15.072,0,0
125,22131,Chlorothalonil II,15.213,8,52
126,22210,Chlorothalonil II,15.176,7,
127,22211,Chlorothalonil II,15.064,0,0
128,Cal 5 II 1,Chlorothalonil II,15.192,119,62
129,22220,Chlorothalonil II,15.089,149,89
130,22221,Chlorothalonil II,15.121,10,271
131,22230,Chlorothalonil II,15.089,0,0
132,22231,Chlorothalonil II,15.276,11,62
133,22310,Chlorothalonil II,15.089,0,0
134,Cal 5 II 1,Chlorothalonil II,15.184,79,
,,,,,
Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Folpet,16.99,214,65
4,Cal 0.125,Folpet,16.998,240,299
5,Cal 0.25,Folpet,17.011,314,369
6,Cal 0.5,Folpet,16.99,361,890
7,Cal 1,Folpet,16.994,809,1654
8,Cal 5,Folpet,16.998,2122,6177
9,Cal 10,Folpet,16.998,7347,22137
10,Cal 25,Folpet,16.998,17839,52854
11,Cal 5,Folpet,16.998,2233,6907
12,Blanck chemical,Folpet,17.04,206,42
13,QC 0,Folpet,17.036,212,70
14,QC 0.5,Folpet,16.973,104,72
15,QC 1,Folpet,17.032,115,95
16,QC 2.5,Folpet,17.002,141,78
17,QC 5,Folpet,17.023,353,154
