Teller,Monsters,Name,RT,Quant Area,Qual Area
63,Cal 5,Cypermethrin I,22.003,67244,21809
64,33110 A,Cypermethrin I,21.999,3034,2803
65,33110 Spike,Cypermethrin I,22.003,14972,6967
66,33111 A,Cypermethrin I,21.987,0,
67,33111 B,Cypermethrin I,,,
68,33120,Cypermethrin I,21.999,0,0
69,33121,Cypermethrin I,,,
70,33130,Cypermethrin I,22.116,4320,1968
71,33131,Cypermethrin I,21.974,0,0
72,33210,Cypermethrin I,22.033,13927,4188
73,33211,Cypermethrin I,22.008,4616,796
74,Cal 5,Cypermethrin I,21.999,54834,16729
75,Cal 5 II,Cypermethrin I,21.999,50692,15190
76,33220,Cypermethrin I,22.124,0,0
77,33221,Cypermethrin I,22.124,0,0
78,33230,Cypermethrin I,22.116,0,0
79,33231,Cypermethrin I,22.012,0,0
80,33310,Cypermethrin I,22.003,2590,3131
81,33311,Cypermethrin I,21.999,62545,15235
82,33320,Cypermethrin I,21.999,0,0
83,33321,Cypermethrin I,21.991,0,0
84,33330,Cypermethrin I,21.987,0,0
85,33331,Cypermethrin I,22.112,0,
86,Cal 5 II,Cypermethrin I,21.995,47588,15136
87,Blanck chemical II,Cypermethrin I,21.978,3000,772
88,QC 0 II,Cypermethrin I,22.058,3294,539
89,QC 0.5 II,Cypermethrin I,21.987,1882,1245
90,QC 1 II,Cypermethrin I,22.012,7903,2221
91,QC 2.5 II,Cypermethrin I,21.991,10931,2855
92,QC 5 II,Cypermethrin I,21.991,13812,4845
93,QC 10 II,Cypermethrin I,21.995,22717,7767
94,Cal 5 II,Cypermethrin I,21.995,50121,15782
95,21110 A,Cypermethrin I,22.12,0,
96,21110 Spike,Cypermethrin I,21.991,11866,5495
97,21111 A,Cypermethrin I,22.05,0,
98,21111 B,Cypermethrin I,21.974,346,
99,21120,Cypermethrin I,21.991,0,0
100,21121,Cypermethrin I,21.949,0,0
101,21130,Cypermethrin I,,,
102,21131,Cypermethrin I,21.999,0,
103,21210,Cypermethrin I,21.944,0,0
104,21211,Cypermethrin I,,,
105,Cal 5 II,Cypermethrin I,21.995,43739,12467
106,21220,Cypermethrin I,22.025,0,
107,21221,Cypermethrin I,22.012,0,
108,21230,Cypermethrin I,22.05,0,0
109,21231,Cypermethrin I,21.944,0,0
110,21310,Cypermethrin I,22.016,0,
111,21311,Cypermethrin I,21.936,0,0
112,21320,Cypermethrin I,22.003,3685,1682
113,21321,Cypermethrin I,22.025,465,
114,21330,Cypermethrin I,21.957,0,
115,21331,Cypermethrin I,21.944,0,0
116,Cal 5 II,Cypermethrin I,21.991,51512,12544
117,Cal 5 II 1,Cypermethrin I,21.995,40707,13143
118,22110 A,Cypermethrin I,22.008,0,0
119,22110 B,Cypermethrin I,21.944,0,0
120,22111 A,Cypermethrin I,22.112,0,
121,22111 Spike,Cypermethrin I,21.991,8664,2774
122,22120,Cypermethrin I,,,
123,22121,Cypermethrin I,22.037,0,
124,22130,Cypermethrin I,21.932,0,0
125,22131,Cypermethrin I,21.965,0,0
126,22210,Cypermethrin I,22.046,0,
127,22211,Cypermethrin I,,,
128,Cal 5 II 1,Cypermethrin I,21.995,43084,14120
129,22220,Cypermethrin I,22.116,0,0
130,22221,Cypermethrin I,22.033,3127,608
131,22230,Cypermethrin I,22.016,1861,1064
132,22231,Cypermethrin I,,,
133,22310,Cypermethrin I,22.116,7655,13506
134,Cal 5 II 1,Cypermethrin I,21.995,41988,12007
,,,,,
Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Cyfluthrin II,22.131,6156,14530
4,Cal 0.125,Cyfluthrin II,22.131,9699,14873
5,Cal 0.25,Cyfluthrin II,22.131,13396,15552
6,Cal 0.5,Cyfluthrin II,22.131,17946,20619
7,Cal 1,Cyfluthrin II,22.131,28442,26186
8,Cal 5,Cyfluthrin II,22.131,119276,93605
9,Cal 10,Cyfluthrin II,22.131,226214,181697
10,Cal 25,Cyfluthrin II,22.131,595708,453271
11,Cal 5,Cyfluthrin II,22.131,120167,94866
12,Blanck chemical,Cyfluthrin II,22.131,5819,11700
13,QC 0,Cyfluthrin II,22.131,6078,10179
14,QC 0.5,Cyfluthrin II,22.131,8897,13792
15,QC 1,Cyfluthrin II,22.131,11204,14948
16,QC 2.5,Cyfluthrin II,22.131,18204,18858
17,QC 5,Cyfluthrin II,22.131,31661,31473
18,QC 10,Cyfluthrin II,22.131,50166,45670
19,Cal 5,Cyfluthrin II,22.131,119160,95851
20,31110 A,Cyfluthrin II,22.131,7154,9253
21,31110 Spike,Cyfluthrin II,22.131,30695,26861
22,31111 A,Cyfluthrin II,22.131,6603,10925
23,31111 B,Cyfluthrin II,22.131,5400,7385
24,31120,Cyfluthrin II,22.131,5665,8511
25,31121,Cyfluthrin II,22.131,5851,8301
26,31130,Cyfluthrin II,22.131,5451,8450
27,31131,Cyfluthrin II,22.131,5115,7343
28,31210,Cyfluthrin II,22.131,5103,10806
29,31211,Cyfluthrin II,22.131,4664,9598
30,Cal 5,Cyfluthrin II,22.131,104733,86814
31,31220,Cyfluthrin II,22.131,6291,9691
32,31221,Cyfluthrin II,22.131,6416,12848
33,31230,Cyfluthrin II,22.131,4454,8497
34,31231,Cyfluthrin II,22.131,5099,11968
35,31310,Cyfluthrin II,22.131,6557,8623
36,31311,Cyfluthrin II,22.131,6232,9288
37,31320,Cyfluthrin II,22.131,4763,8288
38,31321,Cyfluthrin II,22.131,4986,7403
39,31330,Cyfluthrin II,22.131,4681,9638
40,31331,Cyfluthrin II,22.131,6051,7710
41,Cal 5,Cyfluthrin II,22.131,102363,84401
42,32110 A,Cyfluthrin II,22.131,4751,6949
43,32110 B,Cyfluthrin II,22.131,5883,8738
44,32111 A,Cyfluthrin II,22.131,5587,7699
45,32111 Spike,Cyfluthrin II,22.131,26337,23107
46,32120,Cyfluthrin II,22.131,4853,8900
47,32121,Cyfluthrin II,22.131,5187,23954
48,32130,Cyfluthrin II,22.131,4199,9441
49,32131,Cyfluthrin II,22.131,5424,9533
50,32210,Cyfluthrin II,22.131,4016,9627
51,32211,Cyfluthrin II,22.131,6222,8354
52,Cal 5,Cyfluthrin II,22.131,99672,75254
53,32220,Cyfluthrin II,22.131,5900,7695
54,32221,Cyfluthrin II,22.131,4496,8086
55,32230,Cyfluthrin II,22.131,4280,8020
56,32231,Cyfluthrin II,22.131,4140,22725
57,32310,Cyfluthrin II,22.131,4768,8750
58,32311,Cyfluthrin II,22.131,5853,7609
59,32320,Cyfluthrin II,22.131,5864,7187
60,32321,Cyfluthrin II,22.131,5131,6468
61,32330,Cyfluthrin II,22.131,4374,7052
62,32331,Cyfluthrin II,22.131,4463,8458
63,Cal 5,Cyfluthrin II,22.131,105725,81260
64,33110 A,Cyfluthrin II,22.131,4385,10554
65,33110 Spike,Cyfluthrin II,22.131,23706,19748
66,33111 A,Cyfluthrin II,22.131,4337,9100
67,33111 B,Cyfluthrin II,22.131,5653,9989
68,33120,Cyfluthrin II,22.131,5591,7320
69,33121,Cyfluthrin II,22.131,6448,11763
70,33130,Cyfluthrin II,22.131,5981,8836
71,33131,Cyfluthrin II,22.131,5309,6962
72,33210,Cyfluthrin II,22.131,4873,8540
73,33211,Cyfluthrin II,22.131,6641,10854
74,Cal 5,Cyfluthrin II,22.131,88699,68511
75,Cal 5 II,Cyfluthrin II,22.131,73476,58427
76,33220,Cyfluthrin II,22.131,3761,7968
77,33221,Cyfluthrin II,22.131,4608,8874
78,33230,Cyfluthrin II,22.131,5104,9498
79,33231,Cyfluthrin II,22.131,4652,9189
80,33310,Cyfluthrin II,22.131,4315,9005
81,33311,Cyfluthrin II,22.131,4400,7680
82,33320,Cyfluthrin II,22.131,4930,8039
83,33321,Cyfluthrin II,22.131,4954,8621
84,33330,Cyfluthrin II,22.131,5147,7832
85,33331,Cyfluthrin II,22.131,5238,9510
86,Cal 5 II,Cyfluthrin II,22.131,66212,52578
87,Blanck chemical II,Cyfluthrin II,22.131,4652,6934
88,QC 0 II,Cyfluthrin II,22.131,4222,9578
89,QC 0.5 II,Cyfluthrin II,22.131,5930,8378
90,QC 1 II,Cyfluthrin II,22.089,6580,9323
91,QC 2.5 II,Cyfluthrin II,22.09,10855,14693
92,QC 5 II,Cyfluthrin II,22.131,22863,20589
93,QC 10 II,Cyfluthrin II,22.131,36375,30812
94,Cal 5 II,Cyfluthrin II,22.131,68213,55968
95,21110 A,Cyfluthrin II,22.131,4314,5885
96,21110 Spike,Cyfluthrin II,22.131,17824,16672
97,21111 A,Cyfluthrin II,22.131,3284,6159
98,21111 B,Cyfluthrin II,22.131,4240,5487
99,21120,Cyfluthrin II,22.131,3774,5497
100,21121,Cyfluthrin II,22.131,4535,5586
101,21130,Cyfluthrin II,22.131,5734,6064
102,21131,Cyfluthrin II,22.131,4934,7024
103,21210,Cyfluthrin II,22.131,3974,8313
104,21211,Cyfluthrin II,22.131,4128,5791
105,Cal 5 II,Cyfluthrin II,22.131,65221,52248
106,21220,Cyfluthrin II,22.131,3613,7845
107,21221,Cyfluthrin II,22.131,5914,7862
108,21230,Cyfluthrin II,22.131,3565,7288
109,21231,Cyfluthrin II,22.131,3969,6546
110,21310,Cyfluthrin II,22.131,4243,7034
111,21311,Cyfluthrin II,22.131,5540,5482
112,21320,Cyfluthrin II,22.131,3734,6615
113,21321,Cyfluthrin II,22.131,3134,7130
114,21330,Cyfluthrin II,22.131,4161,5161
115,21331,Cyfluthrin II,22.131,3940,6259
116,Cal 5 II,Cyfluthrin II,22.131,66041,52849
117,Cal 5 II 1,Cyfluthrin II,22.131,58258,47892
118,22110 A,Cyfluthrin II,22.131,4612,7050
119,22110 B,Cyfluthrin II,22.131,3632,7349
120,22111 A,Cyfluthrin II,22.131,2753,9080
121,22111 Spike,Cyfluthrin II,22.131,13677,13331
122,22120,Cyfluthrin II,22.131,5290,5585
123,22121,Cyfluthrin II,22.131,4870,6609
124,22130,Cyfluthrin II,22.131,4088,9041
125,22131,Cyfluthrin II,22.131,4510,6902
126,22210,Cyfluthrin II,22.131,4114,6272
127,22211,Cyfluthrin II,22.131,4235,6998
128,Cal 5 II 1,Cyfluthrin II,22.131,54428,42528
129,22220,Cyfluthrin II,22.131,4506,5878
130,22221,Cyfluthrin II,22.131,4832,6299
131,22230,Cyfluthrin II,22.131,4011,9997
132,22231,Cyfluthrin II,22.131,3776,7478
133,22310,Cyfluthrin II,22.131,4418,6912
134,Cal 5 II 1,Cyfluthrin II,22.131,56428,49368
,,,,,
Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Cypermethrin II,22.18,65377,38287
4,Cal 0.125,Cypermethrin II,22.18,66042,36448
5,Cal 0.25,Cypermethrin II,22.146,59324,33099
6,Cal 0.5,Cypermethrin II,22.18,71478,38698
7,Cal 1,Cypermethrin II,22.176,88987,42093
8,Cal 5,Cypermethrin II,22.18,228685,89476
9,Cal 10,Cypermethrin II,22.18,419176,141417
10,Cal 25,Cypermethrin II,22.18,986177,306816
11,Cal 5,Cypermethrin II,22.18,246828,88513
12,Blanck chemical,Cypermethrin II,22.158,34072,33332
13,QC 0,Cypermethrin II,22.18,47195,33509
14,QC 0.5,Cypermethrin II,22.158,44548,34006
15,QC 1,Cypermethrin II,22.197,56460,37579
16,QC 2.5,Cypermethrin II,22.18,73362,40261
17,QC 5,Cypermethrin II,22.18,94799,47101
18,QC 10,Cypermethrin II,22.18,128120,54128
19,Cal 5,Cypermethrin II,22.18,242264,88493
20,31110 A,Cypermethrin II,22.18,43641,34080
21,31110 Spike,Cypermethrin II,22.197,72981,40599
22,31111 A,Cypermethrin II,22.18,39679,27886
23,31111 B,Cypermethrin II,22.18,38450,30011
24,31120,Cypermethrin II,22.18,37462,28700
25,31121,Cypermethrin II,22.18,29726,26979
26,31130,Cypermethrin II,22.18,36105,31855
27,31131,Cypermethrin II,22.18,40750,28797
28,31210,Cypermethrin II,22.197,36808,31474
29,31211,Cypermethrin II,22.18,125407,55548
30,Cal 5,Cypermethrin II,22.18,218650,83456
31,31220,Cypermethrin II,22.18,50050,33887
32,31221,Cypermethrin II,22.18,254040,91637
33,31230,Cypermethrin II,22.18,37956,29918
34,31231,Cypermethrin II,22.18,220132,84479
35,31310,Cypermethrin II,22.18,36610,34734
36,31311,Cypermethrin II,22.176,36951,29562
37,31320,Cypermethrin II,22.18,34381,32500
38,31321,Cypermethrin II,22.18,32068,31633
39,31330,Cypermethrin II,22.18,37168,30980
40,31331,Cypermethrin II,22.18,36501,35380
41,Cal 5,Cypermethrin II,22.176,217956,82536
42,32110 A,Cypermethrin II,22.18,44891,33092
43,32110 B,Cypermethrin II,22.18,40948,33747
44,32111 A,Cypermethrin II,22.18,48030,32009
45,32111 Spike,Cypermethrin II,22.18,83495,41677
46,32120,Cypermethrin II,22.18,36943,27070
47,32121,Cypermethrin II,22.176,48653,31735
48,32130,Cypermethrin II,22.18,34580,28496
49,32131,Cypermethrin II,22.18,31503,27051
50,32210,Cypermethrin II,22.18,41486,30816
51,32211,Cypermethrin II,22.18,67629,38686
52,Cal 5,Cypermethrin II,22.18,208039,75315
53,32220,Cypermethrin II,22.197,56041,34757
54,32221,Cypermethrin II,22.18,134488,57828
55,32230,Cypermethrin II,22.18,90248,47573
56,32231,Cypermethrin II,22.18,461079,149874
57,32310,Cypermethrin II,22.193,41390,30905
58,32311,Cypermethrin II,22.197,42645,33719
59,32320,Cypermethrin II,22.18,42681,32387
60,32321,Cypermethrin II,22.18,35530,27136
61,32330,Cypermethrin II,22.18,35754,28074
62,32331,Cypermethrin II,22.18,39596,30758
63,Cal 5,Cypermethrin II,22.18,207978,80060
64,33110 A,Cypermethrin II,22.12,33644,27797
65,33110 Spike,Cypermethrin II,22.146,61027,34905
66,33111 A,Cypermethrin II,22.18,34528,34895
67,33111 B,Cypermethrin II,22.18,29448,29625
68,33120,Cypermethrin II,22.18,29994,27929
69,33121,Cypermethrin II,22.18,28999,28009
70,33130,Cypermethrin II,22.176,35912,28080
71,33131,Cypermethrin II,22.18,31936,25690
72,33210,Cypermethrin II,22.201,34292,32311
73,33211,Cypermethrin II,22.18,37265,32447
74,Cal 5,Cypermethrin II,22.18,203252,70727
75,Cal 5 II,Cypermethrin II,22.18,165960,62148
76,33220,Cypermethrin II,22.176,36967,26270
77,33221,Cypermethrin II,22.18,48226,35395
78,33230,Cypermethrin II,22.18,33430,34962
79,33231,Cypermethrin II,22.18,41174,31909
80,33310,Cypermethrin II,22.18,38252,31505
81,33311,Cypermethrin II,22.18,127438,56403
82,33320,Cypermethrin II,22.18,38312,32778
83,33321,Cypermethrin II,22.176,43128,28788
84,33330,Cypermethrin II,22.18,32912,25949
85,33331,Cypermethrin II,22.18,36406,27568
86,Cal 5 II,Cypermethrin II,22.18,145231,61126
87,Blanck chemical II,Cypermethrin II,22.12,28989,25486
88,QC 0 II,Cypermethrin II,22.141,34141,26861
89,QC 0.5 II,Cypermethrin II,22.124,44912,26858
90,QC 1 II,Cypermethrin II,22.141,38638,24889
91,QC 2.5 II,Cypermethrin II,22.184,62287,32056
92,QC 5 II,Cypermethrin II,22.146,74287,39762
93,QC 10 II,Cypermethrin II,22.176,101276,43387
94,Cal 5 II,Cypermethrin II,22.18,151726,58719
95,21110 A,Cypermethrin II,22.18,31354,25752
96,21110 Spike,Cypermethrin II,22.176,47981,30041
97,21111 A,Cypermethrin II,22.18,28556,24493
98,21111 B,Cypermethrin II,22.18,25264,25395
99,21120,Cypermethrin II,22.18,27921,24216
100,21121,Cypermethrin II,22.18,29081,25524
101,21130,Cypermethrin II,22.18,24397,23705
102,21131,Cypermethrin II,22.18,25577,24410
103,21210,Cypermethrin II,22.18,31847,23009
104,21211,Cypermethrin II,22.18,26140,25821
105,Cal 5 II,Cypermethrin II,22.18,143965,55057
106,21220,Cypermethrin II,22.18,35792,28145
107,21221,Cypermethrin II,22.18,29901,25969
108,21230,Cypermethrin II,22.18,28288,26327
109,21231,Cypermethrin II,22.18,27436,23326
110,21310,Cypermethrin II,22.176,29242,25142
111,21311,Cypermethrin II,22.18,23575,22856
112,21320,Cypermethrin II,22.21,20820,20846
113,21321,Cypermethrin II,22.18,29582,24305
114,21330,Cypermethrin II,22.18,27361,20845
115,21331,Cypermethrin II,22.18,27674,23935
116,Cal 5 II,Cypermethrin II,22.18,138019,53638
117,Cal 5 II 1,Cypermethrin II,22.18,134211,52522
118,22110 A,Cypermethrin II,22.18,34089,25957
119,22110 B,Cypermethrin II,22.18,30031,23023
120,22111 A,Cypermethrin II,22.18,27254,25108
121,22111 Spike,Cypermethrin II,22.176,36230,20037
122,22120,Cypermethrin II,22.18,25525,20481
123,22121,Cypermethrin II,22.18,31264,25340
124,22130,Cypermethrin II,22.18,30487,21961
125,22131,Cypermethrin II,22.18,34750,25582
126,22210,Cypermethrin II,22.18,32100,26006
127,22211,Cypermethrin II,22.176,31412,23544
128,Cal 5 II 1,Cypermethrin II,22.184,120353,53195
129,22220,Cypermethrin II,22.18,35941,25084
130,22221,Cypermethrin II,22.188,29440,25879
131,22230,Cypermethrin II,22.171,52283,27475
132,22231,Cypermethrin II,22.18,38229,25033
133,22310,Cypermethrin II,22.18,34049,27453
134,Cal 5 II 1,Cypermethrin II,22.184,125416,49385
,,,,,
Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Cyfluthrin III,22.247,818,1180
4,Cal 0.125,Cyfluthrin III,22.243,1396,993
5,Cal 0.25,Cyfluthrin III,22.243,2322,1845
6,Cal 0.5,Cyfluthrin III,22.251,2355,1775
7,Cal 1,Cyfluthrin III,22.243,5374,4311
8,Cal 5,Cyfluthrin III,22.247,27666,18118
9,Cal 10,Cyfluthrin III,22.243,51496,37394
10,Cal 25,Cyfluthrin III,22.243,144200,117332
11,Cal 5,Cyfluthrin III,22.247,28025,16551
12,Blanck chemical,Cyfluthrin III,22.26,450,436
13,QC 0,Cyfluthrin III,22.255,656,2072
14,QC 0.5,Cyfluthrin III,22.239,1246,1094
15,QC 1,Cyfluthrin III,22.251,2031,2006
16,QC 2.5,Cyfluthrin III,22.247,3195,2373
17,QC 5,Cyfluthrin III,22.239,6758,4248
18,QC 10,Cyfluthrin III,22.243,11496,7359
19,Cal 5,Cyfluthrin III,22.243,28004,19831
20,31110 A,Cyfluthrin III,22.239,936,750
21,31110 Spike,Cyfluthrin III,22.243,6482,4072
22,31111 A,Cyfluthrin III,22.277,1077,2857
23,31111 B,Cyfluthrin III,22.234,701,872
24,31120,Cyfluthrin III,22.247,235,636
25,31121,Cyfluthrin III,22.243,412,636
26,31130,Cyfluthrin III,22.239,1413,1024
27,31131,Cyfluthrin III,22.239,1091,1186
28,31210,Cyfluthrin III,22.255,946,889
29,31211,Cyfluthrin III,22.285,81,1377
30,Cal 5,Cyfluthrin III,22.239,25007,23037
31,31220,Cyfluthrin III,22.255,327,3796
32,31221,Cyfluthrin III,22.264,49,
33,31230,Cyfluthrin III,22.31,1324,364
34,31231,Cyfluthrin III,22.239,40,
35,31310,Cyfluthrin III,22.161,487,644
36,31311,Cyfluthrin III,,,
37,31320,Cyfluthrin III,22.153,699,754
38,31321,Cyfluthrin III,22.327,691,477
39,31330,Cyfluthrin III,,,
40,31331,Cyfluthrin III,,,
41,Cal 5,Cyfluthrin III,22.239,26609,16987
42,32110 A,Cyfluthrin III,22.217,220,
43,32110 B,Cyfluthrin III,22.157,1055,1337
44,32111 A,Cyfluthrin III,22.239,38,
45,32111 Spike,Cyfluthrin III,22.243,5054,4555
46,32120,Cyfluthrin III,22.26,1249,3132
47,32121,Cyfluthrin III,22.213,60,
48,32130,Cyfluthrin III,,,
49,32131,Cyfluthrin III,22.157,618,997
50,32210,Cyfluthrin III,22.165,643,700
51,32211,Cyfluthrin III,22.208,188,
52,Cal 5,Cyfluthrin III,22.239,22250,17378
53,32220,Cyfluthrin III,22.306,644,
54,32221,Cyfluthrin III,22.277,1556,453
55,32230,Cyfluthrin III,,,
56,32231,Cyfluthrin III,22.161,914,4945
57,32310,Cyfluthrin III,22.302,4905,2867
58,32311,Cyfluthrin III,22.323,1365,
59,32320,Cyfluthrin III,22.243,122,437
60,32321,Cyfluthrin III,22.157,648,1205
61,32330,Cyfluthrin III,22.306,352,70
62,32331,Cyfluthrin III,22.157,388,516
63,Cal 5,Cyfluthrin III,22.234,24742,17415
64,33110 A,Cyfluthrin III,22.2,185,698
65,33110 Spike,Cyfluthrin III,22.239,5029,2727
66,33111 A,Cyfluthrin III,,,
67,33111 B,Cyfluthrin III,22.161,535,
68,33120,Cyfluthrin III,22.161,620,1082
69,33121,Cyfluthrin III,,,
70,33130,Cyfluthrin III,22.157,658,1189
71,33131,Cyfluthrin III,22.251,151,
72,33210,Cyfluthrin III,22.285,764,1289
73,33211,Cyfluthrin III,22.319,1132,
74,Cal 5,Cyfluthrin III,22.234,23138,16871
75,Cal 5 II,Cyfluthrin III,22.234,19226,12481
76,33220,Cyfluthrin III,22.327,656,374
77,33221,Cyfluthrin III,22.161,873,208
78,33230,Cyfluthrin III,22.234,3649,91
79,33231,Cyfluthrin III,,,
80,33310,Cyfluthrin III,,,
81,33311,Cyfluthrin III,22.26,918,1531
82,33320,Cyfluthrin III,22.302,90,
83,33321,Cyfluthrin III,,,
84,33330,Cyfluthrin III,22.234,191,
85,33331,Cyfluthrin III,22.161,459,1298
86,Cal 5 II,Cyfluthrin III,22.23,15631,10458
87,Blanck chemical II,Cyfluthrin III,,,
88,QC 0 II,Cyfluthrin III,,,
89,QC 0.5 II,Cyfluthrin III,22.217,1163,1451
90,QC 1 II,Cyfluthrin III,22.234,1127,1251
91,QC 2.5 II,Cyfluthrin III,22.23,2396,2436
92,QC 5 II,Cyfluthrin III,22.234,3191,2672
93,QC 10 II,Cyfluthrin III,22.234,7308,5069
94,Cal 5 II,Cyfluthrin III,22.23,15959,13149
95,21110 A,Cyfluthrin III,22.234,893,572
96,21110 Spike,Cyfluthrin III,22.23,3267,1967
97,21111 A,Cyfluthrin III,22.31,78,
98,21111 B,Cyfluthrin III,22.222,165,190
99,21120,Cyfluthrin III,22.327,265,
100,21121,Cyfluthrin III,22.183,195,281
101,21130,Cyfluthrin III,22.319,965,
102,21131,Cyfluthrin III,,,
103,21210,Cyfluthrin III,,,
104,21211,Cyfluthrin III,22.157,648,
105,Cal 5 II,Cyfluthrin III,22.23,15652,10697
106,21220,Cyfluthrin III,22.285,730,53
107,21221,Cyfluthrin III,,,
108,21230,Cyfluthrin III,22.251,298,
109,21231,Cyfluthrin III,22.327,87,1237
110,21310,Cyfluthrin III,22.247,45,
111,21311,Cyfluthrin III,22.327,574,
112,21320,Cyfluthrin III,,,
113,21321,Cyfluthrin III,22.213,99,
114,21330,Cyfluthrin III,22.217,54,195
115,21331,Cyfluthrin III,22.285,103,
116,Cal 5 II,Cyfluthrin III,22.234,14402,10550
117,Cal 5 II 1,Cyfluthrin III,22.234,13707,9739
118,22110 A,Cyfluthrin III,22.157,587,852
119,22110 B,Cyfluthrin III,22.208,274,
120,22111 A,Cyfluthrin III,22.302,1308,
121,22111 Spike,Cyfluthrin III,22.23,1643,1890
122,22120,Cyfluthrin III,22.277,91,466
123,22121,Cyfluthrin III,22.289,208,1220
124,22130,Cyfluthrin III,,,
125,22131,Cyfluthrin III,22.302,882,
126,22210,Cyfluthrin III,22.165,601,896
127,22211,Cyfluthrin III,,,
128,Cal 5 II 1,Cyfluthrin III,22.226,12317,9329
129,22220,Cyfluthrin III,22.161,479,729
130,22221,Cyfluthrin III,22.165,818,1709
131,22230,Cyfluthrin III,22.157,1060,
132,22231,Cyfluthrin III,22.23,82,
133,22310,Cyfluthrin III,,,
134,Cal 5 II 1,Cyfluthrin III,22.23,13193,9706
,,,,,
Teller,Monsters,Name,RT,Quant Area,Qual Area
3,Cal 0,Cypermethrin III,22.324,3361,1459
4,Cal 0.125,Cypermethrin III,22.286,4416,2569
5,Cal 0.25,Cypermethrin III,22.291,3292,2528
6,Cal 0.5,Cypermethrin III,22.282,6205,2083
7,Cal 1,Cypermethrin III,22.286,5725,4817
8,Cal 5,Cypermethrin III,22.291,38124,10387
9,Cal 10,Cypermethrin III,22.295,74824,23913
10,Cal 25,Cypermethrin III,22.295,197845,57513
11,Cal 5,Cypermethrin III,22.295,38244,10905
12,Blanck chemical,Cypermethrin III,22.308,1976,2398
13,QC 0,Cypermethrin III,22.303,2813,1630
14,QC 0.5,Cypermethrin III,22.291,3883,1167
15,QC 1,Cypermethrin III,22.286,3998,2024
16,QC 2.5,Cypermethrin III,22.291,8319,3713
17,QC 5,Cypermethrin III,22.291,14791,6766
18,QC 10,Cypermethrin III,22.295,16951,7305
19,Cal 5,Cypermethrin III,22.291,37182,10496
20,31110 A,Cypermethrin III,,,
21,31110 Spike,Cypermethrin III,22.291,6110,3448
22,31111 A,Cypermethrin III,,,
23,31111 B,Cypermethrin III,,,
24,31120,Cypermethrin III,,,
25,31121,Cypermethrin III,,,
26,31130,Cypermethrin III,22.223,729,
27,31131,Cypermethrin III,,,
28,31210,Cypermethrin III,22.324,2763,3017
29,31211,Cypermethrin III,22.286,9557,4772
30,Cal 5,Cypermethrin III,22.291,34355,9840
31,31220,Cypermethrin III,,,
32,31221,Cypermethrin III,22.291,28942,9354
33,31230,Cypermethrin III,,,
34,31231,Cypermethrin III,22.291,22393,8028
35,31310,Cypermethrin III,,,
36,31311,Cypermethrin III,,,
37,31320,Cypermethrin III,,,
38,31321,Cypermethrin III,,,
39,31330,Cypermethrin III,,,
40,31331,Cypermethrin III,22.331,463,
41,Cal 5,Cypermethrin III,22.286,40053,11998
42,32110 A,Cypermethrin III,,,
43,32110 B,Cypermethrin III,,,
44,32111 A,Cypermethrin III,22.324,4395,2387
45,32111 Spike,Cypermethrin III,22.291,7840,3897
46,32120,Cypermethrin III,22.265,1047,444
47,32121,Cypermethrin III,,,
48,32130,Cypermethrin III,,,
49,32131,Cypermethrin III,22.299,1093,
50,32210,Cypermethrin III,22.308,2392,768
51,32211,Cypermethrin III,22.291,5314,
52,Cal 5,Cypermethrin III,22.291,33908,8754
53,32220,Cypermethrin III,22.286,5613,1728
54,32221,Cypermethrin III,22.286,14912,5144
55,32230,Cypermethrin III,22.286,8860,2942
56,32231,Cypermethrin III,22.286,74119,21158
57,32310,Cypermethrin III,22.324,3229,2151
58,32311,Cypermethrin III,22.282,1175,2396
59,32320,Cypermethrin III,,,
60,32321,Cypermethrin III,22.339,2130,
61,32330,Cypermethrin III,,,
62,32331,Cypermethrin III,,,
63,Cal 5,Cypermethrin III,22.286,39891,9583
64,33110 A,Cypermethrin III,22.316,3466,2378
65,33110 Spike,Cypermethrin III,22.286,6115,2713
66,33111 A,Cypermethrin III,,,
67,33111 B,Cypermethrin III,,,
68,33120,Cypermethrin III,,,
69,33121,Cypermethrin III,22.24,442,
70,33130,Cypermethrin III,22.312,316,
71,33131,Cypermethrin III,,,
72,33210,Cypermethrin III,22.303,2180,1054
73,33211,Cypermethrin III,,,
74,Cal 5,Cypermethrin III,22.282,27914,7757
75,Cal 5 II,Cypermethrin III,22.282,25148,7767
76,33220,Cypermethrin III,,,
77,33221,Cypermethrin III,,,
78,33230,Cypermethrin III,,,
79,33231,Cypermethrin III,,,
80,33310,Cypermethrin III,22.278,884,858
81,33311,Cypermethrin III,22.282,5472,1778
82,33320,Cypermethrin III,,,
83,33321,Cypermethrin III,,,
84,33330,Cypermethrin III,,,
85,33331,Cypermethrin III,22.352,467,2213
86,Cal 5 II,Cypermethrin III,22.282,25692,9326
87,Blanck chemical II,Cypermethrin III,22.295,1755,629
88,QC 0 II,Cypermethrin III,22.32,2357,1357
89,QC 0.5 II,Cypermethrin III,22.286,2478,611
90,QC 1 II,Cypermethrin III,22.299,2940,1846
91,QC 2.5 II,Cypermethrin III,22.282,5558,2106
