Quantify Compound Summary Report 																					
																					
Printed Tue Jul 28 19:12:31 2020																					
																					
Compound 1:  13C-Caffeine																					
																					
	Name	Sample Text	RT	Area		1? Area															
108	TQS3_200727_111	Cal 0	5.93	1484.987		1252.76															
109	TQS3_200727_112	Cal 0.125	5.93	4912.409		3971.278															
110	TQS3_200727_113	Cal 0.25	5.93	8153.89		6946.173															
111	TQS3_200727_114	Cal 0.5	5.93	15668.108		13461.865															
112	TQS3_200727_115	Cal 1	5.93	32470.855		27135.643															
113	TQS3_200727_116	Cal 2.5	5.93	71898.695		61292.09															
114	TQS3_200727_117	Cal 5	5.93	146471.563		123847.141															
115	TQS3_200727_118	Cal 10	5.93	306465.656		261259.844															
116	TQS3_200727_119	Cal 25	5.93	728978.625		616880.188															
																					
Compound 4:  Boscalid																					
																					
	Name	Sample Text	RT	Area		1? Area															
1	TQS3_200727_004	mq H2O	6.33	357.363		211.1															
2	TQS3_200727_005	Cal 0	6.32	411.849		207.525															
3	TQS3_200727_006	Cal 0.125	6.32	5729.712		2474.823															
4	TQS3_200727_007	Cal 0.25	6.31	10452.687		4801.562															
5	TQS3_200727_008	Cal 0.5	6.32	21937.367		9493.866															
6	TQS3_200727_009	Cal 1	6.32	54442.691		23519.57															
7	TQS3_200727_010	Cal 2.5	6.32	101368.438		44334.262															
8	TQS3_200727_011	Cal 5	6.32	213141.688		93103.078															
9	TQS3_200727_012	Cal 10	6.32	488864.75		210801.281															
10	TQS3_200727_013	Cal 25	6.32	1159292.5		513057															
11	TQS3_200727_014	mq H2O	6.33	599.728		258.502															
12	TQS3_200727_015	Std M2 5ng/mL	6.32	252589.469		112572.547															
13	TQS3_200727_016	Blank chemical_2	6.32	1070.197		359.203															
14	TQS3_200727_017	Blank soil	6.32	808.162		483.185															
15	TQS3_200727_018	Blank soil spiked	6.32	64550.711		29103.268															
16	TQS3_200727_019	Std M 1 5ng/mL	6.32	255322.984		113500.672															
17	TQS3_200727_020	20I	6.32	942049.875		419349.438															
18	TQS3_200727_021	20I_b	6.32	990709.063		449564.875															
19	TQS3_200727_022	21C	6.32	18178.314		8171.251															
20	TQS3_200727_023	21H	6.32	46598.328		20755.004															
21	TQS3_200727_024	21H_spike	6.32	98651		43194.953															
22	TQS3_200727_025	22G	6.32	1187175.375		522364.5															
23	TQS3_200727_026	Std Mx B 5ng/mL	6.32	247738.75		108934.977															
24	TQS3_200727_027	23C	6.32	1165243.5		514932.656															
25	TQS3_200727_028	23J	6.32	2113395.25		958165.813															
26	TQS3_200727_029	25A	6.32	14083		6450.806															
27	TQS3_200727_030	25A_spike	6.32	81751.109		35432.465															
28	TQS3_200727_031	27C	6.32	11580.242		5195.475															
29	TQS3_200727_032	27J	6.32	1464023.875		645434.25															
30	TQS3_200727_033	28D	6.32	1502653.75		668876.438															
31	TQS3_200727_034	28G	6.32	38035.965		17747.547															
32	TQS3_200727_035	28G_spike	6.32	102244.547		46053.781															
33	TQS3_200727_036	Std Mx B 5ng/mL	6.32	248859.484		109205.688															
34	TQS3_200727_037	30D	6.32	15802.832		7008.274															
35	TQS3_200727_038	31A	6.32	14445.276		6551.347															
36	TQS3_200727_039	31F	6.32	1327904.375		584682.563															
37	TQS3_200727_040	31J	6.32	947531.438		420874.156															
38	TQS3_200727_041	33F	6.32	1279883.875		565925.5															
39	TQS3_200727_042	33F_spike	6.32	1400669.375		630363.438															
40	TQS3_200727_043	34D	6.32	1294746.5		578506.75															
41	TQS3_200727_044	34I	6.32	19228.813		8483.751															
42	TQS3_200727_045	35A	6.32	1421017.875		638320.438															
43	TQS3_200727_046	35F	6.32	24580.52		11094.999															
44	TQS3_200727_047	Std Mx B 5ng/mL	6.32	246530.953		109599.234															
45	TQS3_200727_048	35H	6.32	1192189.625		532388.625															
46	TQS3_200727_049	35J	6.32	1043271.188		457627.906															
47	TQS3_200727_050	36D	6.32	1205798		542031.188															
48	TQS3_200727_051	36G	6.32	20252.281		8337.365															
49	TQS3_200727_052	36I	6.32	44624.277		19415.309															
50	TQS3_200727_053	38B	6.32	890797.125		393607.125															
51	TQS3_200727_054	38I	6.32	30257.139		13065.949															
52	TQS3_200727_055	39A	6.32	17285.135		7446.803															
53	TQS3_200727_056	39H	6.32	1355842.5		597687.625															
54	TQS3_200727_057	39J	6.32	1411278.375		620520.125															
55	TQS3_200727_058	Std Mx B 5ng/mL	6.32	264470.031		116400.078															
56	TQS3_200727_059	41E	6.32	18739.225		8045.909															
57	TQS3_200727_060	41F	6.32	17352.758		7814.936															
58	TQS3_200727_061	41H	6.32	21065.41		9194.029															
59	TQS3_200727_062	41J	6.32	35462.004		14932.49															
60	TQS3_200727_063	42B	6.32	25201.904		11239.969															
61	TQS3_200727_064	42B_b	6.32	22586.504		10093.245															
62	TQS3_200727_065	44G	6.32	18779.379		8047.205															
63	TQS3_200727_066	45F	6.32	22202.029		9233.235															
64	TQS3_200727_067	45J	6.32	1014679.875		444377.688															
65	TQS3_200727_068	46I	6.32	3087044.75		1380081.5															
66	TQS3_200727_069	Std Mx B 5ng/mL	6.32	261815.297		115348.414															
67	TQS3_200727_070	47E	6.32	1544864.625		691691.188															
68	TQS3_200727_071	47F	6.32	1281414.625		569105.25															
69	TQS3_200727_072	47H	6.32	18894.131		8221.346															
70	TQS3_200727_073	48B	6.32	21051.936		9101.478															
71	TQS3_200727_074	48G	6.32	42578.273		18569.301															
72	TQS3_200727_075	48I	6.32	1958898.25		872991.375															
73	TQS3_200727_076	1H	6.33	26324.725		10965.331															
74	TQS3_200727_077	3A	6.32	11306.603		5068.343															
75	TQS3_200727_078	3A_b	6.32	12420.988		5125.807															
76	TQS3_200727_079	3F	6.32	2663432.5		1189185.875															
77	TQS3_200727_080	Std Mx B 5ng/mL	6.32	244254.734		107525.688															
78	TQS3_200727_081	3F_spike	6.32	2584792.75		1136063.875															
79	TQS3_200727_082	3J	6.32	1741363.875		778871.313															
80	TQS3_200727_083	5E	6.32	21540.131		9565.742															
81	TQS3_200727_084	5F	6.32	19266.664		8415.432															
82	TQS3_200727_085	8D	6.32	13826.824		5843.403															
83	TQS3_200727_086	8D_spike	6.32	79649.078		34522.438															
84	TQS3_200727_087	8G	6.32	2177702.5		963240.75															
85	TQS3_200727_088	8I	6.32	14159.465		6246.214															
86	TQS3_200727_089	12B	6.32	1664242.5		718377.25															
87	TQS3_200727_090	12I	6.32	2042630.625		889561.625															
88	TQS3_200727_091	Std Mx B 5ng/mL	6.32	275712.344		117743.594															
89	TQS3_200727_092	13C	6.32	22659.332		9729.033															
90	TQS3_200727_093	13C_spike	6.32	95587.336		41154.008															
91	TQS3_200727_094	14B	6.32	32420.969		13937.73															
92	TQS3_200727_095	14D	6.32	2126774.25		909891.625															
93	TQS3_200727_096	14G	6.32	828514.625		361247.531															
94	TQS3_200727_097	14G_b	6.32	897817.25		394228.094															
95	TQS3_200727_098	14I	6.32	29151.916		12304.973															
96	TQS3_200727_099	16D	6.32	2325612.25		995504.375															
97	TQS3_200727_100	16I	6.32	11563.423		4899.999															
98	TQS3_200727_101	17E	6.32	2022141.375		879557.313															
99	TQS3_200727_102	Std Mx B 5ng/mL	6.32	256630.984		111456.258															
100	TQS3_200727_103	17F	6.32	13949.271		6248.772															
101	TQS3_200727_104	20G	6.32	23738.66		10459.784															
102	TQS3_200727_105	21A	6.32	14724.726		6216.819															
103	TQS3_200727_106	21F	6.32	2437853		1048471.563															
104	TQS3_200727_107	21F_spike	6.32	2511565.75		1092794.5															
105	TQS3_200727_108	21J	6.32	2117061.25		910570.563															
106	TQS3_200727_109	Std Mx B 5ng/mL	6.32	280699.188		121393.82															
107	TQS3_200727_110	mq H2O	6.31	635.856		240.13															
108	TQS3_200727_111	Cal 0	6.33	1296.227		425.549															
109	TQS3_200727_112	Cal 0.125	6.32	6352.494		2658.965															
110	TQS3_200727_113	Cal 0.25	6.32	11359.367		4836.357															
111	TQS3_200727_114	Cal 0.5	6.32	23204.797		10042.117															
112	TQS3_200727_115	Cal 1	6.32	50427.09		21373.998															
113	TQS3_200727_116	Cal 2.5	6.32	115139.773		48026.602															
114	TQS3_200727_117	Cal 5	6.32	230978.094		97118.672															
115	TQS3_200727_118	Cal 10	6.33	491209.063		208923.375															
116	TQS3_200727_119	Cal 25	6.32	1183011.25		505186.656															
																					
Compound 5:  Boscalid met.																					
																					
	Name	Sample Text	RT	Area		1? Area															
1	TQS3_200727_004	mq H2O	5.05	65.63		13.33															
2	TQS3_200727_005	Cal 0	5.07	29.811		24.175															
3	TQS3_200727_006	Cal 0.125	5.04	808.176		55.347															
4	TQS3_200727_007	Cal 0.25	5.04	1740.545		103.735															
5	TQS3_200727_008	Cal 0.5	5.04	3596.129		157.392															
6	TQS3_200727_009	Cal 1	5.03	8311.635		369.97															
7	TQS3_200727_010	Cal 2.5	5.04	17080.146		736.853															
8	TQS3_200727_011	Cal 5	5.04	34350.754		1534.763															
9	TQS3_200727_012	Cal 10	5.04	78158.492		3431.158															
10	TQS3_200727_013	Cal 25	5.04	184201.891		8017.88															
11	TQS3_200727_014	mq H2O	5.03	283.269		28.59															
12	TQS3_200727_015	Std M2 5ng/mL	5.04	40345.055		1666.982															
13	TQS3_200727_016	Blank chemical_2	5.06	157.458		16.449															
14	TQS3_200727_017	Blank soil				40.344															
15	TQS3_200727_018	Blank soil spiked	5.04	10049.033		464.632															
16	TQS3_200727_019	Std M 1 5ng/mL	5.04	41657.988		1835.265															
17	TQS3_200727_020	20I	5.05	322.475		43.294															
18	TQS3_200727_021	20I_b	5.04	84.318		33.713															
19	TQS3_200727_022	21C	5.03	182.944		73.973															
20	TQS3_200727_023	21H	5.03	163.744		203.81															
21	TQS3_200727_024	21H_spike	5.04	10668.78		451.031															
22	TQS3_200727_025	22G	5.14	221.697		2.229															
23	TQS3_200727_026	Std Mx B 5ng/mL	5.04	39441.105		1779.867															
24	TQS3_200727_027	23C	5.03	298.778		47.948															
25	TQS3_200727_028	23J	5.05	495.366		61.197															
26	TQS3_200727_029	25A	5.04	79.998		15.121															
27	TQS3_200727_030	25A_spike	5.04	10868.744		524.077															
28	TQS3_200727_031	27C	5.13	77.919		73.084															
29	TQS3_200727_032	27J	5.02	85.258		74.698															
30	TQS3_200727_033	28D	5.04	269.819		18.197															
31	TQS3_200727_034	28G	5.22	13.022		247.962															
32	TQS3_200727_035	28G_spike	5.04	10419.867		482.998															
33	TQS3_200727_036	Std Mx B 5ng/mL	5.04	38863.227		1635.649															
34	TQS3_200727_037	30D	5.05	112.834		65.832															
35	TQS3_200727_038	31A	5.03	7.482		41.385															
36	TQS3_200727_039	31F	5.04	125.622		45.375															
37	TQS3_200727_040	31J	5.04	304.27		209.248															
38	TQS3_200727_041	33F	5.28	69.789		6.977															
39	TQS3_200727_042	33F_spike	5.04	9977.488		479.274															
40	TQS3_200727_043	34D	5.04	28.07		64.513															
41	TQS3_200727_044	34I	5.05	25.483		8.198															
42	TQS3_200727_045	35A	5.09	4.45		74.357															
43	TQS3_200727_046	35F	5.05	197.1		12.925															
44	TQS3_200727_047	Std Mx B 5ng/mL	5.04	38529.031		1638.33															
45	TQS3_200727_048	35H	5.07	205.458		55.494															
46	TQS3_200727_049	35J	5.04	243.092		28.736															
47	TQS3_200727_050	36D	5.01	49.878		67.533															
48	TQS3_200727_051	36G	5.03	17.075		32.334															
49	TQS3_200727_052	36I	5.12	181.91		34.491															
50	TQS3_200727_053	38B	5.07	227.584		13.643															
51	TQS3_200727_054	38I	4.83	25.345		75.827															
52	TQS3_200727_055	39A	5.09	22.047		8.179															
53	TQS3_200727_056	39H	5.07	102.5		163.265															
54	TQS3_200727_057	39J	5.02	210.994		3.816															
55	TQS3_200727_058	Std Mx B 5ng/mL	5.04	40907.656		1776.999															
56	TQS3_200727_059	41E	5.02	376.087		40.398															
57	TQS3_200727_060	41F	5.01	50.343		17.071															
58	TQS3_200727_061	41H	5.37	665.703		1.911															
59	TQS3_200727_062	41J	5.16	2.58		11.026															
60	TQS3_200727_063	42B	4.71	17.013		33.132															
61	TQS3_200727_064	42B_b																			
62	TQS3_200727_065	44G	5	22.715		40.737															
63	TQS3_200727_066	45F	4.68	235.961		173.341															
64	TQS3_200727_067	45J	5.03	65.218		19.842															
65	TQS3_200727_068	46I	5.03	81.255		22.082															
66	TQS3_200727_069	Std Mx B 5ng/mL	5.04	39913.773		1666.469															
67	TQS3_200727_070	47E	5.04	358.362		47.324															
68	TQS3_200727_071	47F	5.41	113.118		16.791															
69	TQS3_200727_072	47H	5.1	29.517		53.598															
70	TQS3_200727_073	48B	4.95	23.74		9.56															
71	TQS3_200727_074	48G	5.34	28.559		2.16															
72	TQS3_200727_075	48I	5.04	259.922		12.957															
73	TQS3_200727_076	1H	5.03	55.742		46.554															
74	TQS3_200727_077	3A	5.07	10.894		19.001															
75	TQS3_200727_078	3A_b	5.14	145.788		81.959															
76	TQS3_200727_079	3F	5.03	289.697		55.785															
77	TQS3_200727_080	Std Mx B 5ng/mL	5.04	37354.297		1632.864															
78	TQS3_200727_081	3F_spike	5.04	9897.817		423.236															
79	TQS3_200727_082	3J	5.04	311.703		13.298															
80	TQS3_200727_083	5E	5.06	59.563		14.34															
81	TQS3_200727_084	5F	5.04	10.947		12.621															
82	TQS3_200727_085	8D	4.87	16.612		2.981															
83	TQS3_200727_086	8D_spike	5.04	9940.378		437.318															
84	TQS3_200727_087	8G	5.04	180.872		9.427															
85	TQS3_200727_088	8I	4.97	38.449		55.875															
86	TQS3_200727_089	12B	5.04	868.135		24.585															
87	TQS3_200727_090	12I	5.05	474.211		41.567															
88	TQS3_200727_091	Std Mx B 5ng/mL	5.04	41184.969		1818.063															
89	TQS3_200727_092	13C	5.19	220.851		7.905															
90	TQS3_200727_093	13C_spike	5.04	9991.264		447.326															
91	TQS3_200727_094	14B	4.85	113.434		35.205															
92	TQS3_200727_095	14D	5.04	196.913		18.352															
93	TQS3_200727_096	14G	5.04	29.25		33.437															
94	TQS3_200727_097	14G_b	5.01	609.828		5.087															
95	TQS3_200727_098	14I	5.04	525.831		18.44															
96	TQS3_200727_099	16D	5.03	572.967		14.466															
97	TQS3_200727_100	16I	5.06	175.667		62.11															
98	TQS3_200727_101	17E	5.03	328.273		6.04															
99	TQS3_200727_102	Std Mx B 5ng/mL	5.04	38085.781		1670.058															
100	TQS3_200727_103	17F	5.04	281.111		76.131															
101	TQS3_200727_104	20G	5.03	74.416		27.258															
102	TQS3_200727_105	21A	5.05	174.962		7.724															
103	TQS3_200727_106	21F	5.04	258.203		49.827															
104	TQS3_200727_107	21F_spike	5.04	9516.131		427.896															
105	TQS3_200727_108	21J	5.04	353.954		40.699															
106	TQS3_200727_109	Std Mx B 5ng/mL	5.04	40945.648		1853.383															
107	TQS3_200727_110	mq H2O	5.16	38.809		4.696															
108	TQS3_200727_111	Cal 0																			
109	TQS3_200727_112	Cal 0.125	5.04	882.389		51.971															
110	TQS3_200727_113	Cal 0.25	5.04	1634.297		77.383															
111	TQS3_200727_114	Cal 0.5	5.04	3470.193		159.251															
112	TQS3_200727_115	Cal 1	5.04	7205.346		328.278															
113	TQS3_200727_116	Cal 2.5	5.04	17404.773		841.995															
114	TQS3_200727_117	Cal 5	5.04	34383.824		1523.209															
115	TQS3_200727_118	Cal 10	5.04	72877.969		3173.846															
116	TQS3_200727_119	Cal 25	5.04	175225.172		7791.792															
																					
Compound 6:  Pyraclostrobin																					
																					
	Name	Sample Text	RT	Area		1? Area															
1	TQS3_200727_004	mq H2O	7.45	759.879		712.267															
2	TQS3_200727_005	Cal 0	7.46	1220.953		1023.294															
3	TQS3_200727_006	Cal 0.125	7.46	14389.71		13133.93															
4	TQS3_200727_007	Cal 0.25	7.45	26971.91		25066.66															
5	TQS3_200727_008	Cal 0.5	7.46	54583.52		51880.656															
6	TQS3_200727_009	Cal 1	7.46	142843		133520.703															
7	TQS3_200727_010	Cal 2.5	7.46	265310.844		244374.625															
8	TQS3_200727_011	Cal 5	7.46	545032.188		513235.344															
9	TQS3_200727_012	Cal 10	7.46	1278241.375		1191718.625															
10	TQS3_200727_013	Cal 25	7.46	3443994.5		3247117.25															
11	TQS3_200727_014	mq H2O	7.46	2242.914		2001.196															
12	TQS3_200727_015	Std M2 5ng/mL	7.46	732408.313		686143.875															
13	TQS3_200727_016	Blank chemical_2	7.46	2058.733		1971.798															
14	TQS3_200727_017	Blank soil	7.46	1106.89		957.509															
15	TQS3_200727_018	Blank soil spiked	7.46	182721.859		168569.375															
16	TQS3_200727_019	Std M 1 5ng/mL	7.46	588836.625		544638.063															
17	TQS3_200727_020	20I	7.46	103970.594		95266.344															
18	TQS3_200727_021	20I_b	7.45	114404.398		104441.102															
19	TQS3_200727_022	21C	7.46	2472.18		2363.065															
20	TQS3_200727_023	21H	7.45	5336.895		4948.015															
21	TQS3_200727_024	21H_spike	7.46	195544.313		177708.5															
22	TQS3_200727_025	22G	7.46	243404.266		223992.922															
23	TQS3_200727_026	Std Mx B 5ng/mL	7.46	697967.188		646192.25															
24	TQS3_200727_027	23C	7.46	117251.781		108683.047															
25	TQS3_200727_028	23J	7.46	377238.188		346877.188															
26	TQS3_200727_029	25A	7.46	2975.228		2594.5															
27	TQS3_200727_030	25A_spike	7.46	197832.344		180557.938															
28	TQS3_200727_031	27C	7.45	2010.741		1698.711															
29	TQS3_200727_032	27J	7.46	292756		267832.719															
30	TQS3_200727_033	28D	7.46	147579.391		136950.469															
31	TQS3_200727_034	28G	7.46	5206.489		4771.429															
32	TQS3_200727_035	28G_spike	7.46	194172.938		179051.906															
33	TQS3_200727_036	Std Mx B 5ng/mL	7.46	702696.063		644048.875															
34	TQS3_200727_037	30D	7.46	2165.889		1831.337															
35	TQS3_200727_038	31A	7.46	2045.545		1820.778															
36	TQS3_200727_039	31F	7.46	293129.344		269910.344															
37	TQS3_200727_040	31J	7.46	129378.039		116880.328															
38	TQS3_200727_041	33F	7.46	182780.672		165464.719															
39	TQS3_200727_042	33F_spike	7.46	399917.719		363274.5															
40	TQS3_200727_043	34D	7.46	185038.922		167215.016															
41	TQS3_200727_044	34I	7.46	2238.921		2137.451															
42	TQS3_200727_045	35A	7.46	148805.234		137287.547															
43	TQS3_200727_046	35F	7.46	3853.959		3585.393															
44	TQS3_200727_047	Std Mx B 5ng/mL	7.46	698810.625		635791.5															
45	TQS3_200727_048	35H	7.46	193635.078		176462.016															
46	TQS3_200727_049	35J	7.46	148998.453		138769.25															
47	TQS3_200727_050	36D	7.46	107481.961		98734.547															
48	TQS3_200727_051	36G	7.46	2656.723		2450.913															
49	TQS3_200727_052	36I	7.46	5886.842		5372.959															
50	TQS3_200727_053	38B	7.46	131789.609		121793.008															
51	TQS3_200727_054	38I	7.46	3117.082		2730.168															
52	TQS3_200727_055	39A	7.45	1806.8		1623.288															
53	TQS3_200727_056	39H	7.46	229635.188		210943.047															
54	TQS3_200727_057	39J	7.46	247752.719		229278.297															
55	TQS3_200727_058	Std Mx B 5ng/mL	7.46	753150.625		694982.063															
56	TQS3_200727_059	41E	7.46	3644.051		3464.45															
57	TQS3_200727_060	41F	7.46	2237.8		2029.992															
58	TQS3_200727_061	41H	7.46	3088.057		2939.033															
59	TQS3_200727_062	41J	7.46	4602.76		4357.868															
60	TQS3_200727_063	42B	7.46	2377.422		2092.535															
61	TQS3_200727_064	42B_b	7.46	2157.942		1850.322															
62	TQS3_200727_065	44G	7.46	2229.41		2105.417															
63	TQS3_200727_066	45F	7.46	2078.719		1828.453															
64	TQS3_200727_067	45J	7.46	194669.516		178963.813															
65	TQS3_200727_068	46I	7.46	667610		607091															
66	TQS3_200727_069	Std Mx B 5ng/mL	7.46	738933.438		679923															
67	TQS3_200727_070	47E	7.46	281559.063		256401.359															
68	TQS3_200727_071	47F	7.46	234184.844		213815.672															
69	TQS3_200727_072	47H	7.46	5120.941		4481.839															
70	TQS3_200727_073	48B	7.46	1909.164		1468.128															
71	TQS3_200727_074	48G	7.46	6956.209		6551.02															
72	TQS3_200727_075	48I	7.46	438697.625		400827.656															
73	TQS3_200727_076	1H	7.46	3402.988		2916.274															
74	TQS3_200727_077	3A	7.45	1201.801		1094.033															
75	TQS3_200727_078	3A_b	7.46	1229.189		1082.666															
76	TQS3_200727_079	3F	7.46	383998.156		353598.906															
77	TQS3_200727_080	Std Mx B 5ng/mL	7.46	703006.75		642199.875															
78	TQS3_200727_081	3F_spike	7.46	544101.625		500292.469															
79	TQS3_200727_082	3J	7.46	192072.641		177102.359															
80	TQS3_200727_083	5E	7.46	2445.951		2121.723															
81	TQS3_200727_084	5F	7.46	1575.491		1460.534															
82	TQS3_200727_085	8D	7.46	1142.485		1109.491															
83	TQS3_200727_086	8D_spike	7.46	192619.281		176722.609															
84	TQS3_200727_087	8G	7.46	254339.625		229260.656															
85	TQS3_200727_088	8I	7.47	1760.833		1452.573															
86	TQS3_200727_089	12B	7.46	146379.891		131830.391															
87	TQS3_200727_090	12I	7.46	169152.219		153326.234															
88	TQS3_200727_091	Std Mx B 5ng/mL	7.46	778674.438		714790.563															
89	TQS3_200727_092	13C	7.46	2758.841		2500.133															
90	TQS3_200727_093	13C_spike	7.46	201096.703		185878															
91	TQS3_200727_094	14B	7.46	2159.35		1802.17															
92	TQS3_200727_095	14D	7.46	258403.156		235272.359															
93	TQS3_200727_096	14G	7.46	55294.297		50877.352															
94	TQS3_200727_097	14G_b	7.46	53349.609		48671.254															
95	TQS3_200727_098	14I	7.47	2136.204		1879.143															
96	TQS3_200727_099	16D	7.46	274969.875		253924.109															
97	TQS3_200727_100	16I	7.46	1615.195		1594.851															
98	TQS3_200727_101	17E	7.46	216923.047		201016.578															
99	TQS3_200727_102	Std Mx B 5ng/mL	7.46	729277.688		679014															
100	TQS3_200727_103	17F	7.46	2167.222		2001.061															
101	TQS3_200727_104	20G	7.46	1470.983		1400.724															
102	TQS3_200727_105	21A	7.46	1378.769		1168.815															
103	TQS3_200727_106	21F	7.46	270196.25		249705.813															
104	TQS3_200727_107	21F_spike	7.46	471364.469		437850.688															
105	TQS3_200727_108	21J	7.46	390128.281		361234.719															
106	TQS3_200727_109	Std Mx B 5ng/mL	7.46	787910.813		731415.938															
107	TQS3_200727_110	mq H2O	7.47	752.4		712.999															
108	TQS3_200727_111	Cal 0	7.47	898.578		934.29															
109	TQS3_200727_112	Cal 0.125	7.46	13956.897		13289.76															
110	TQS3_200727_113	Cal 0.25	7.46	27489.338		25047.703															
111	TQS3_200727_114	Cal 0.5	7.46	56472.207		51841.211															
112	TQS3_200727_115	Cal 1	7.46	126588.984		117022.25															
113	TQS3_200727_116	Cal 2.5	7.46	290931.5		268448.031															
114	TQS3_200727_117	Cal 5	7.46	579155.25		535433.375															
115	TQS3_200727_118	Cal 10	7.46	1259039.625		1173406.625															
116	TQS3_200727_119	Cal 25	7.46	3458382.75		3172927.25															
