Quantify Compound Summary Report 

Printed Wed Jul 29 18:01:25 2020

Compound 1:  13C-Caffeine

	Name	Sample Text	RT	Area	1º Area	IS Area	Sec.Peaks	2º Area
43	TQS3_200728_043	50B	8.41	484889.625	73838.070		1	
44	TQS3_200728_044	52D	8.41	7047.459	1135.030		1	
45	TQS3_200728_045	Std Mx B 5ng/mL	8.41	64128.613	9968.336		1	
46	TQS3_200728_046	mq H2O	8.42	1442.938	311.010		1	
47	TQS3_200728_047	Cal 0	8.42	1558.645	408.836		1	
48	TQS3_200728_048	Cal 0.125	8.42	2256.421	631.573		1	
49	TQS3_200728_049	Cal 0.25	8.42	5561.105	698.242		1	
50	TQS3_200728_050	Cal 0.5	8.41	5676.488	984.079		1	
51	TQS3_200728_051	Cal 1	8.41	12065.605	1978.198		1	
52	TQS3_200728_052	Cal 2.5	8.41	22454.295	3464.791		1	
53	TQS3_200728_053	Cal 5	8.41	46501.703	6991.055		1	
54	TQS3_200728_054	Cal 10	8.41	107178.813	16450.027		1	
55	TQS3_200728_055	Cal 25	8.41	319283.188	48414.227		1	

Compound 3:  Chlorantranilliprole

	Name	Sample Text	RT	Area	1º Area	IS Area	Sec.Peaks	2º Area
1	TQS3_200728_001	mq H2O	5.93	2263.873	1856.217		1	
2	TQS3_200728_002	Cal 0	5.92	1431.197	1216.108		1	
3	TQS3_200728_003	Cal 0.125	5.91	4825.675	3927.289		1	
4	TQS3_200728_004	Cal 0.25	5.90	7892.888	6458.713		1	
5	TQS3_200728_005	Cal 0.5	5.90	15251.785	12340.388		1	
6	TQS3_200728_006	Cal 1	5.90	32456.807	27513.242		1	
7	TQS3_200728_007	Cal 2.5	5.90	67290.555	56577.430		1	
8	TQS3_200728_008	Cal 5	5.91	143057.766	120366.156		1	
9	TQS3_200728_009	Cal 10	5.91	308799.969	258662.078		1	
10	TQS3_200728_010	Cal 25	5.90	747208.625	617947.875		1	
11	TQS3_200728_011	mq H2O	5.90	2004.573	1568.167		1	
12	TQS3_200728_012	Std Mx B 5ng/mL	5.90	170371.813	141833.016		1	
13	TQS3_200728_013	22D	5.90	118152.547	99062.430		1	
14	TQS3_200728_014	22I	5.91	5475.298	4576.453		1	
15	TQS3_200728_015	22I_spike	5.91	44007.367	37886.492		1	
16	TQS3_200728_016	23E	5.90	5376.369	4486.551		1	
17	TQS3_200728_017	23H	5.91	5440.230	4699.865		1	
18	TQS3_200728_018	24B	5.91	5747.328	4792.393		1	
19	TQS3_200728_019	24G	5.90	85291.914	70186.313		1	
20	TQS3_200728_020	24G_spike	5.90	128290.086	107458.336		1	
21	TQS3_200728_021	25F	5.91	5584.435	4426.611		1	
22	TQS3_200728_022	26I	5.90	84567.688	70648.469		1	
23	TQS3_200728_023	Std Mx B 5ng/mL	5.91	165815.891	138755.984		1	
24	TQS3_200728_024	27A	5.91	4795.155	3993.968		1	
25	TQS3_200728_025	27H	5.91	5339.733	4750.999		1	
26	TQS3_200728_026	28B	5.90	112350.664	95406.109		1	
27	TQS3_200728_027	29A	5.91	4276.815	3809.467		1	
28	TQS3_200728_028	29J	5.90	103383.320	87045.664		1	
29	TQS3_200728_029	32D	5.90	128744.414	108615.164		1	
30	TQS3_200728_030	33H	5.91	81271.172	68042.547		1	
31	TQS3_200728_031	34G	5.91	43188.660	36555.852		1	
32	TQS3_200728_032	35C	5.90	97687.195	82944.867		1	
33	TQS3_200728_033	38D	5.90	7223.575	6285.839		1	
34	TQS3_200728_034	Std Mx B 5ng/mL	5.91	165766.047	137712.219		1	
35	TQS3_200728_035	39F	5.91	91753.406	77542.555		1	
36	TQS3_200728_036	40G	5.91	5855.862	5017.259		1	
37	TQS3_200728_037	42D	5.90	5279.786	4561.709		1	
38	TQS3_200728_038	43E	5.91	127319.273	108719.477		1	
39	TQS3_200728_039	43F	5.90	112805.539	95017.734		1	
40	TQS3_200728_040	44D	5.91	137796.672	116205.492		1	
41	TQS3_200728_041	46B	5.91	126322.734	107358.555		1	
42	TQS3_200728_042	46B_b	5.91	112639.789	95396.219		1	
43	TQS3_200728_043	50B	5.91	5387.840	4677.926		1	
44	TQS3_200728_044	52D	5.91	4618.476	4033.535		1	
45	TQS3_200728_045	Std Mx B 5ng/mL	5.91	169811.438	141840.609		1	
46	TQS3_200728_046	mq H2O	5.92	1608.491	1370.541		1	
47	TQS3_200728_047	Cal 0	5.91	1414.415	1306.988		1	
48	TQS3_200728_048	Cal 0.125	5.91	5059.760	4168.896		1	
49	TQS3_200728_049	Cal 0.25	5.91	8144.129	7193.777		1	
50	TQS3_200728_050	Cal 0.5	5.91	15840.238	13270.722		1	
51	TQS3_200728_051	Cal 1	5.90	32414.482	27223.102		1	
52	TQS3_200728_052	Cal 2.5	5.90	67624.359	57128.020		1	
53	TQS3_200728_053	Cal 5	5.90	145584.875	123499.117		1	
54	TQS3_200728_054	Cal 10	5.91	305687.469	261229.500		1	
55	TQS3_200728_055	Cal 25	5.90	743740.500	628659.688		1	

Compound 4:  Boscalid

	Name	Sample Text	RT	Area	1º Area	IS Area	Sec.Peaks	2º Area
1	TQS3_200728_001	mq H2O	6.34	1147.614	376.929		1	
2	TQS3_200728_002	Cal 0	6.32	415.723	205.426		1	
3	TQS3_200728_003	Cal 0.125	6.30	6093.333	2647.732		1	
4	TQS3_200728_004	Cal 0.25	6.30	10743.134	4736.546		1	
5	TQS3_200728_005	Cal 0.5	6.30	22430.496	9695.509		1	
6	TQS3_200728_006	Cal 1	6.30	52532.480	22591.666		1	
7	TQS3_200728_007	Cal 2.5	6.30	106830.797	45726.301		1	
8	TQS3_200728_008	Cal 5	6.30	224617.172	100095.734		1	
9	TQS3_200728_009	Cal 10	6.30	492050.469	209665.953		1	
10	TQS3_200728_010	Cal 25	6.30	1211575.875	528908.500		1	
11	TQS3_200728_011	mq H2O	6.29	778.116	280.364		1	
12	TQS3_200728_012	Std Mx B 5ng/mL	6.30	273010.531	121294.602		1	
13	TQS3_200728_013	22D	6.30	2206382.750	978720.938		1	
14	TQS3_200728_014	22I	6.30	1965985.750	858264.188		1	
15	TQS3_200728_015	22I_spike	6.30	2345671.000	1044339.688		1	
16	TQS3_200728_016	23E	6.30	24632.627	10563.332		1	
17	TQS3_200728_017	23H	6.30	2330833.500	1015765.750		1	
18	TQS3_200728_018	24B	6.30	2467044.250	1096117.375		1	
19	TQS3_200728_019	24G	6.30	20688.984	8678.120		1	
20	TQS3_200728_020	24G_spike	6.30	82234.273	35764.391		1	
21	TQS3_200728_021	25F	6.30	19130.729	7814.884		1	
22	TQS3_200728_022	26I	6.30	27115.609	10752.132		1	
23	TQS3_200728_023	Std Mx B 5ng/mL	6.30	264228.281	118078.906		1	
24	TQS3_200728_024	27A	6.30	15863.954	6987.396		1	
25	TQS3_200728_025	27H	6.30	2279605.000	998623.563		1	
26	TQS3_200728_026	28B	6.30	2690561.250	1177620.000		1	
27	TQS3_200728_027	29A	6.30	13344.481	5742.525		1	
28	TQS3_200728_028	29J	6.30	2200978.750	966855.125		1	
29	TQS3_200728_029	32D	6.30	2094090.125	910608.125		1	
30	TQS3_200728_030	33H	6.30	2421580.750	1071937.000		1	
31	TQS3_200728_031	34G	6.30	818531.938	339699.250		1	
32	TQS3_200728_032	35C	6.30	14766.516	6286.425		1	
33	TQS3_200728_033	38D	6.30	25679.469	11035.874		1	
34	TQS3_200728_034	Std Mx B 5ng/mL	6.30	265764.219	115929.914		1	
35	TQS3_200728_035	39F	6.30	15978.990	6786.377		1	
36	TQS3_200728_036	40G	6.30	2111260.500	937488.063		1	
37	TQS3_200728_037	42D	6.30	22203.463	9390.943		1	
38	TQS3_200728_038	43E	6.30	2320365.000	1012155.813		1	
39	TQS3_200728_039	43F	6.30	20829.539	9018.930		1	
40	TQS3_200728_040	44D	6.30	2773674.000	1220607.625		1	
41	TQS3_200728_041	46B	6.30	2740516.250	1199553.125		1	
42	TQS3_200728_042	46B_b	6.30	2447971.000	1059893.875		1	
43	TQS3_200728_043	50B	6.30	24123.633	10438.899		1	
44	TQS3_200728_044	52D	6.30	2097389.000	912460.063		1	
45	TQS3_200728_045	Std Mx B 5ng/mL	6.30	273642.938	119032.617		1	
46	TQS3_200728_046	mq H2O	6.31	732.067	326.153		1	
47	TQS3_200728_047	Cal 0	6.31	807.081	388.902		1	
48	TQS3_200728_048	Cal 0.125	6.30	6323.991	2652.243		1	
49	TQS3_200728_049	Cal 0.25	6.30	11787.064	4892.142		1	
50	TQS3_200728_050	Cal 0.5	6.30	23574.123	9905.964		1	
51	TQS3_200728_051	Cal 1	6.30	52222.109	20660.457		1	
52	TQS3_200728_052	Cal 2.5	6.30	107655.016	44922.844		1	
53	TQS3_200728_053	Cal 5	6.30	226471.234	95852.703		1	
54	TQS3_200728_054	Cal 10	6.30	494863.469	213474.359		1	
55	TQS3_200728_055	Cal 25	6.30	1217188.125	512943.531		1	

Compound 5:  Boscalid met.

	Name	Sample Text	RT	Area	1º Area	IS Area	Sec.Peaks	2º Area
1	TQS3_200728_001	mq H2O	5.04	103.471	4.586		1	
2	TQS3_200728_002	Cal 0	4.95	20.957	10.523		1	
3	TQS3_200728_003	Cal 0.125	5.02	932.082	58.994		1	
4	TQS3_200728_004	Cal 0.25	5.02	1684.967	96.140		1	
5	TQS3_200728_005	Cal 0.5	5.02	3509.138	148.368		1	
6	TQS3_200728_006	Cal 1	5.02	7457.126	324.315		1	
7	TQS3_200728_007	Cal 2.5	5.02	16980.879	668.747		1	
8	TQS3_200728_008	Cal 5	5.02	34948.297	1472.287		1	
9	TQS3_200728_009	Cal 10	5.02	74866.305	3245.604		1	
10	TQS3_200728_010	Cal 25	5.02	182487.906	7898.512		1	
11	TQS3_200728_011	mq H2O	5.07	130.422	6.931		1	
12	TQS3_200728_012	Std Mx B 5ng/mL	5.02	41546.668	1806.194		1	
13	TQS3_200728_013	22D	5.02	297.979	57.283		1	
14	TQS3_200728_014	22I	5.03	302.978	36.078		1	
15	TQS3_200728_015	22I_spike	5.02	9526.559	422.641		1	
16	TQS3_200728_016	23E	4.97	50.610	13.524		1	
17	TQS3_200728_017	23H	5.03	336.210	50.911		1	
18	TQS3_200728_018	24B	5.03	321.011	56.201		1	
19	TQS3_200728_019	24G	5.01	70.459	35.564		1	
20	TQS3_200728_020	24G_spike	5.02	9183.880	388.039		1	
21	TQS3_200728_021	25F	5.34	29.623	14.926		1	
22	TQS3_200728_022	26I	5.03	29.476	46.351		1	
23	TQS3_200728_023	Std Mx B 5ng/mL	5.02	39874.836	1689.153		1	
24	TQS3_200728_024	27A	5.03	81.778	40.585		1	
25	TQS3_200728_025	27H	5.03	220.014	24.654		1	
26	TQS3_200728_026	28B	5.03	411.213	59.356		1	
27	TQS3_200728_027	29A	5.02	94.713	57.101		1	
28	TQS3_200728_028	29J	5.02	327.450	19.887		1	
29	TQS3_200728_029	32D	5.02	249.595	59.003		1	
30	TQS3_200728_030	33H	5.03	420.028	29.069		1	
31	TQS3_200728_031	34G	5.01	150.249	25.794		1	
32	TQS3_200728_032	35C	5.02	120.369	59.596		1	
33	TQS3_200728_033	38D	4.88	50.324	36.055		1	
34	TQS3_200728_034	Std Mx B 5ng/mL	5.02	39390.297	1720.646		1	
35	TQS3_200728_035	39F	5.22	31.118	6.474		1	
